time;SamplingFrequency;ECG
0.21701;1000;510
0.21801;1000;508
0.21901;1000;504
0.22001;1000;502
0.22101;1000;501
0.22201;1000;499
0.22301;1000;498
0.22401;1000;497
0.22501;1000;499
0.22601;1000;498
0.22701;1000;497
0.22801;1000;501
0.22901;1000;503
0.23001;1000;505
0.23101;1000;503
0.23201;1000;504
0.23301;1000;504
0.23401;1000;503
0.23501;1000;504
0.23601;1000;506
0.23701;1000;503
0.23801;1000;498
0.23901;1000;496
0.24001;1000;497
0.24101;1000;503
0.24201;1000;505
0.24301;1000;505
0.24401;1000;502
0.24501;1000;501
0.24601;1000;500
0.24701;1000;500
0.24801;1000;495
0.24901;1000;495
0.25001;1000;504
0.25101;1000;511
0.25201;1000;516
0.25301;1000;519
0.25401;1000;520
0.25501;1000;518
0.25601;1000;518
0.25701;1000;523
0.25801;1000;525
0.25901;1000;527
0.26001;1000;527
0.26101;1000;516
0.26201;1000;511
0.26301;1000;509
0.26401;1000;510
0.26501;1000;512
0.26601;1000;515
0.26701;1000;518
0.26801;1000;520
0.26901;1000;521
0.27001;1000;523
0.27101;1000;527
0.27201;1000;531
0.27301;1000;532
0.27401;1000;533
0.27501;1000;539
0.27601;1000;543
0.27701;1000;543
0.27801;1000;542
0.27901;1000;539
0.28001;1000;532
0.28101;1000;527
0.28201;1000;525
0.28301;1000;522
0.28401;1000;518
0.28501;1000;515
0.28601;1000;511
0.28701;1000;507
0.28801;1000;504
0.28901;1000;503
0.29001;1000;504
0.29101;1000;506
0.29201;1000;505
0.29301;1000;508
0.29401;1000;514
0.29501;1000;521
0.29601;1000;527
0.29701;1000;528
0.29801;1000;523
0.29901;1000;512
0.30001;1000;505
0.30101;1000;503
0.30201;1000;506
0.30301;1000;512
0.30401;1000;520
0.30501;1000;524
0.30601;1000;524
0.30701;1000;528
0.30801;1000;532
0.30901;1000;538
0.31001;1000;539
0.31101;1000;538
0.31201;1000;532
0.31301;1000;529
0.31401;1000;523
0.31501;1000;518
0.31601;1000;520
0.31701;1000;524
0.31801;1000;525
0.31901;1000;526
0.32001;1000;528
0.32101;1000;535
0.32201;1000;539
0.32301;1000;543
0.32401;1000;545
0.32501;1000;545
0.32601;1000;550
0.32701;1000;552
0.32801;1000;553
0.32901;1000;550
0.33001;1000;551
0.33101;1000;552
0.33201;1000;552
0.33301;1000;558
0.33401;1000;563
0.33501;1000;559
0.33601;1000;552
0.33701;1000;549
0.33801;1000;552
0.33901;1000;560
0.34001;1000;567
0.34101;1000;566
0.34201;1000;563
0.34301;1000;558
0.34401;1000;558
0.34501;1000;559
0.34601;1000;560
0.34701;1000;557
0.34801;1000;545
0.34901;1000;536
0.35001;1000;532
0.35101;1000;536
0.35201;1000;543
0.35301;1000;548
0.35401;1000;551
0.35501;1000;550
0.35601;1000;547
0.35701;1000;541
0.35801;1000;545
0.35901;1000;550
0.36001;1000;552
0.36101;1000;553
0.36201;1000;555
0.36301;1000;557
0.36401;1000;557
0.36501;1000;556
0.36601;1000;558
0.36701;1000;559
0.36801;1000;560
0.36901;1000;561
0.37001;1000;558
0.37101;1000;557
0.37201;1000;556
0.37301;1000;555
0.37401;1000;553
0.37501;1000;548
0.37601;1000;548
0.37701;1000;548
0.37801;1000;550
0.37901;1000;549
0.38001;1000;552
0.38101;1000;556
0.38201;1000;553
0.38301;1000;548
0.38401;1000;541
0.38501;1000;536
0.38601;1000;531
0.38701;1000;525
0.38801;1000;523
0.38901;1000;517
0.39001;1000;513
0.39101;1000;508
0.39201;1000;509
0.39301;1000;513
0.39401;1000;518
0.39501;1000;520
0.39601;1000;519
0.39701;1000;517
0.39801;1000;516
0.39901;1000;515
0.40001;1000;515
0.40101;1000;510
0.40201;1000;502
0.40301;1000;497
0.40401;1000;494
0.40501;1000;491
0.40601;1000;487
0.40701;1000;480
0.40801;1000;477
0.40901;1000;475
0.41001;1000;475
0.41101;1000;476
0.41201;1000;474
0.41301;1000;474
0.41401;1000;472
0.41501;1000;475
0.41601;1000;477
0.41701;1000;479
0.41801;1000;479
0.41901;1000;481
0.42001;1000;480
0.42101;1000;476
0.42201;1000;470
0.42301;1000;463
0.42401;1000;460
0.42501;1000;455
0.42601;1000;453
0.42701;1000;457
0.42801;1000;462
0.42901;1000;452
0.43001;1000;436
0.43101;1000;421
0.43201;1000;409
0.43301;1000;411
0.43401;1000;413
0.43501;1000;418
0.43601;1000;440
0.43701;1000;468
0.43801;1000;485
0.43901;1000;487
0.44001;1000;482
0.44101;1000;471
