time;SamplingFrequency;ECG
0;1000;481
0.001;1000;484
0.0020001;1000;488
0.0030001;1000;491
0.0040001;1000;495
0.0050001;1000;498
0.0060002;1000;499
0.0070002;1000;500
0.0080002;1000;505
0.0090002;1000;511
0.01;1000;515
0.011;1000;514
0.012;1000;511
0.013;1000;509
0.014;1000;508
0.015;1000;508
0.016;1000;505
0.017;1000;502
0.018;1000;500
0.019;1000;500
0.020001;1000;500
0.021001;1000;500
0.022001;1000;500
0.023001;1000;503
0.024001;1000;506
0.025001;1000;508
0.026001;1000;508
0.027001;1000;507
0.028001;1000;506
0.029001;1000;506
0.030001;1000;505
0.031001;1000;501
0.032001;1000;498
0.033001;1000;498
0.034001;1000;500
0.035001;1000;503
0.036001;1000;504
0.037001;1000;505
0.038001;1000;506
0.039001;1000;506
0.040001;1000;506
0.041001;1000;506
0.042001;1000;505
0.043001;1000;508
0.044001;1000;508
0.045001;1000;505
0.046001;1000;500
0.047001;1000;497
0.048001;1000;496
0.049001;1000;496
0.050001;1000;498
0.051001;1000;501
0.052001;1000;503
0.053001;1000;501
0.054001;1000;500
0.055001;1000;499
0.056001;1000;499
0.057001;1000;500
0.058001;1000;501
0.059001;1000;502
0.060002;1000;504
0.061002;1000;506
0.062002;1000;507
0.063002;1000;509
0.064002;1000;512
0.065002;1000;514
0.066002;1000;514
0.067002;1000;511
0.068002;1000;509
0.069002;1000;508
0.070002;1000;507
0.071002;1000;507
0.072002;1000;505
0.073002;1000;504
0.074002;1000;505
0.075002;1000;504
0.076002;1000;504
0.077002;1000;506
0.078002;1000;508
0.079002;1000;510
0.080002;1000;510
0.081002;1000;509
0.082002;1000;507
0.083002;1000;509
0.084002;1000;515
0.085002;1000;518
0.086002;1000;519
0.087002;1000;524
0.088002;1000;524
0.089002;1000;523
0.090002;1000;520
0.091002;1000;515
0.092002;1000;511
0.093002;1000;507
0.094002;1000;501
0.095002;1000;496
0.096002;1000;495
0.097002;1000;496
0.098002;1000;499
0.099002;1000;500
0.1;1000;501
0.101;1000;502
0.102;1000;503
0.103;1000;506
0.104;1000;510
0.105;1000;513
0.106;1000;516
0.107;1000;516
0.108;1000;514
0.109;1000;515
0.11;1000;513
0.111;1000;511
0.112;1000;511
0.113;1000;513
0.114;1000;513
0.115;1000;512
0.116;1000;510
0.117;1000;507
0.118;1000;507
0.119;1000;511
0.12;1000;512
0.121;1000;512
0.122;1000;511
0.123;1000;511
0.124;1000;513
0.125;1000;515
0.126;1000;517
0.127;1000;518
0.128;1000;517
0.129;1000;517
0.13;1000;517
0.131;1000;517
0.132;1000;512
0.133;1000;508
0.134;1000;510
0.135;1000;512
0.136;1000;512
0.137;1000;512
0.138;1000;508
0.139;1000;504
0.14;1000;502
0.141;1000;502
0.142;1000;506
0.143;1000;512
