time;SamplingFrequency;ECG
0;100;491
0.010003;100;503
0.020005;100;499
0.030008;100;509
0.04001;100;503
0.050013;100;519
0.060015;100;512
0.070018;100;523
0.08002;100;530
0.090023;100;537
0.10003;100;535
0.11003;100;555
0.12003;100;555
0.13003;100;571
0.14004;100;572
0.15004;100;582
0.16004;100;582
0.17004;100;574
0.18005;100;558
0.19005;100;533
0.20005;100;492
0.21005;100;461
0.22006;100;438
0.23006;100;437
0.24006;100;425
0.25006;100;440
0.26007;100;424
0.27007;100;449
0.28007;100;441
0.29007;100;456
0.30008;100;456
0.31008;100;469
0.32008;100;464
0.33008;100;480
0.34009;100;474
0.35009;100;486
0.36009;100;480
0.37009;100;494
0.3801;100;486
0.3901;100;501
0.4001;100;489
0.4101;100;493
0.42011;100;469
0.43011;100;454
0.44011;100;435
0.45011;100;430
0.46012;100;419
0.47012;100;426
0.48012;100;418
0.49012;100;422
0.50013;100;426
0.51013;100;433
0.52013;100;437
0.53013;100;448
0.54014;100;445
0.55014;100;461
0.56014;100;462
0.57014;100;479
0.58015;100;469
0.59015;100;489
0.60015;100;473
0.61015;100;493
0.62016;100;496
0.63016;100;502
0.64016;100;496
0.65016;100;513
0.66017;100;509
0.67017;100;518
0.68017;100;515
0.69017;100;530
0.70018;100;524
0.71018;100;526
0.72018;100;504
0.73018;100;515
0.74019;100;510
0.75019;100;519
0.76019;100;515
0.77019;100;521
0.7802;100;515
0.7902;100;518
0.8002;100;493
0.8102;100;591
0.82021;100;719
0.83021;100;768
0.84021;100;508
0.85021;100;482
0.86022;100;475
0.87022;100;497
0.88022;100;491
0.89022;100;503
0.90023;100;501
0.91023;100;519
0.92023;100;511
0.93023;100;516
0.94024;100;519
0.95024;100;530
0.96024;100;521
0.97024;100;539
0.98025;100;534
0.99025;100;543
1.0003;100;539
1.0103;100;553
1.0203;100;552
1.0303;100;573
1.0403;100;576
1.0503;100;592
1.0603;100;591
1.0703;100;604
1.0803;100;595
1.0903;100;594
1.1003;100;563
1.1103;100;531
1.1203;100;491
1.1303;100;483
1.1403;100;442
1.1503;100;446
1.1603;100;436
1.1703;100;440
1.1803;100;435
1.1903;100;458
1.2003;100;452
1.2103;100;474
1.2203;100;463
1.2303;100;483
1.2403;100;477
1.2503;100;496
1.2603;100;494
1.2703;100;496
1.2803;100;494
1.2903;100;505
1.3003;100;495
1.3103;100;507
1.3203;100;498
1.3303;100;501
1.3403;100;492
1.3503;100;509
1.3603;100;497
1.3703;100;506
1.3803;100;500
1.3903;100;511
1.4004;100;503
1.4104;100;513
1.4204;100;507
1.4304;100;515
1.4404;100;508
1.4504;100;517
1.4604;100;512
1.4704;100;518
1.4804;100;508
1.4904;100;520
1.5004;100;508
1.5104;100;519
1.5204;100;507
1.5304;100;518
1.5404;100;507
1.5504;100;515
1.5604;100;508
1.5704;100;516
1.5804;100;508
1.5904;100;512
1.6004;100;502
1.6104;100;513
1.6204;100;511
1.6304;100;516
1.6404;100;504
