time;SamplingFrequency;ECG
0;100;509
0.010003;100;515
0.020005;100;519
0.030008;100;527
0.04001;100;529
0.050013;100;542
0.060015;100;550
0.070018;100;566
0.08002;100;562
0.090023;100;573
0.10003;100;579
0.11003;100;591
0.12003;100;585
0.13003;100;567
0.14004;100;535
0.15004;100;502
0.16004;100;469
0.17004;100;445
0.18005;100;427
0.19005;100;442
0.20005;100;422
0.21005;100;433
0.22006;100;428
0.23006;100;446
0.24006;100;450
0.25006;100;464
0.26007;100;462
0.27007;100;477
0.28007;100;478
0.29007;100;489
0.30008;100;490
0.31008;100;489
0.32008;100;494
0.33008;100;496
0.34009;100;497
0.35009;100;503
0.36009;100;499
0.37009;100;500
0.3801;100;497
0.3901;100;510
0.4001;100;500
0.4101;100;499
0.42011;100;504
0.43011;100;503
0.44011;100;501
0.45011;100;507
0.46012;100;506
0.47012;100;508
0.48012;100;510
0.49012;100;518
0.50013;100;510
0.51013;100;514
0.52013;100;505
0.53013;100;518
0.54014;100;510
0.55014;100;524
0.56014;100;507
0.57014;100;523
0.58015;100;524
0.59015;100;531
0.60015;100;515
0.61015;100;520
0.62016;100;504
0.63016;100;521
0.64016;100;504
0.65016;100;513
0.66017;100;513
0.67017;100;514
0.68017;100;506
0.69017;100;499
0.70018;100;496
0.71018;100;593
0.72018;100;725
0.73018;100;671
0.74019;100;457
0.75019;100;466
0.76019;100;471
0.77019;100;480
0.7802;100;480
0.7902;100;499
0.8002;100;491
0.8102;100;499
0.82021;100;494
0.83021;100;498
0.84021;100;496
0.85021;100;511
0.86022;100;511
0.87022;100;515
0.88022;100;518
0.89022;100;529
0.90023;100;529
0.91023;100;534
0.92023;100;544
0.93023;100;551
0.94024;100;560
0.95024;100;573
0.96024;100;584
0.97024;100;586
0.98025;100;574
0.99025;100;572
1.0003;100;532
1.0103;100;504
1.0203;100;472
1.0303;100;446
1.0403;100;436
1.0503;100;428
1.0603;100;426
1.0703;100;442
1.0803;100;437
1.0903;100;450
1.1003;100;453
1.1103;100;467
1.1203;100;472
1.1303;100;480
1.1403;100;486
1.1503;100;485
1.1603;100;486
1.1703;100;504
1.1803;100;489
1.1903;100;499
1.2003;100;500
1.2103;100;499
1.2203;100;496
1.2303;100;500
1.2403;100;500
1.2503;100;497
1.2603;100;501
1.2703;100;510
1.2803;100;503
1.2903;100;512
1.3003;100;505
1.3103;100;508
1.3203;100;501
1.3303;100;505
1.3403;100;502
1.3503;100;512
1.3603;100;510
1.3703;100;517
1.3803;100;513
1.3903;100;507
1.4004;100;510
1.4104;100;519
1.4204;100;516
1.4304;100;514
1.4404;100;529
1.4504;100;521
1.4604;100;508
1.4704;100;504
1.4804;100;498
1.4904;100;509
1.5004;100;490
1.5104;100;508
1.5204;100;500
1.5304;100;502
1.5404;100;485
1.5504;100;483
1.5604;100;590
1.5704;100;732
1.5804;100;705
1.5904;100;495
1.6004;100;449
1.6104;100;452
1.6204;100;464
1.6304;100;472
1.6404;100;476
1.6504;100;484
1.6604;100;487
1.6704;100;498
1.6804;100;491
1.6904;100;498
1.7004;100;495
1.7104;100;509
1.7204;100;508
1.7304;100;520
1.7404;100;522
1.7504;100;527
1.7604;100;526
1.7704;100;539
1.7804;100;552
1.7904;100;548
1.8005;100;561
1.8105;100;576
1.8205;100;577
1.8305;100;576
1.8405;100;559
1.8505;100;548
1.8605;100;508
1.8705;100;477
1.8805;100;446
1.8905;100;438
1.9005;100;430
1.9105;100;432
1.9205;100;428
1.9305;100;446
1.9405;100;442
1.9505;100;462
1.9605;100;455
1.9705;100;465
1.9805;100;474
1.9905;100;484
2.0005;100;490
2.0105;100;490
2.0205;100;491
2.0305;100;504
