time;SamplingFrequency;ECG;Pulse
0;1000;528;518
0.001;1000;527;519
0.0020001;1000;528;518
0.0030001;1000;530;520
0.0040001;1000;531;519
0.0050001;1000;531;519
0.0060002;1000;529;522
0.0070002;1000;527;518
0.0080002;1000;527;521
0.0090002;1000;527;519
0.01;1000;528;522
0.011;1000;529;521
0.012;1000;531;519
0.013;1000;534;520
0.014;1000;537;520
0.015;1000;538;521
0.016;1000;540;522
0.017;1000;542;523
0.018;1000;543;523
0.019;1000;544;522
0.020001;1000;543;523
0.021001;1000;543;520
0.022001;1000;543;525
0.023001;1000;543;522
0.024001;1000;543;525
0.025001;1000;543;525
0.026001;1000;543;525
0.027001;1000;543;523
0.028001;1000;540;523
0.029001;1000;537;522
0.030001;1000;537;524
0.031001;1000;539;524
0.032001;1000;542;524
0.033001;1000;544;524
0.034001;1000;547;524
0.035001;1000;551;525
0.036001;1000;554;525
0.037001;1000;556;524
0.038001;1000;559;527
0.039001;1000;560;524
0.040001;1000;558;526
0.041001;1000;558;526
0.042001;1000;558;525
0.043001;1000;559;524
0.044001;1000;559;524
0.045001;1000;559;524
0.046001;1000;557;525
0.047001;1000;556;524
0.048001;1000;553;526
0.049001;1000;553;524
0.050001;1000;553;525
0.051001;1000;556;525
0.052001;1000;558;524
0.053001;1000;563;528
0.054001;1000;567;524
0.055001;1000;570;524
0.056001;1000;573;529
0.057001;1000;574;527
0.058001;1000;573;525
0.059001;1000;575;524
0.060002;1000;576;525
0.061002;1000;576;525
0.062002;1000;576;524
0.063002;1000;575;526
0.064002;1000;573;524
0.065002;1000;571;525
0.066002;1000;569;525
0.067002;1000;568;526
0.068002;1000;568;527
0.069002;1000;568;524
0.070002;1000;568;524
0.071002;1000;571;529
0.072002;1000;572;524
0.073002;1000;574;528
0.074002;1000;578;523
0.075002;1000;581;527
0.076002;1000;583;526
0.077002;1000;584;525
0.078002;1000;584;526
0.079002;1000;584;525
0.080002;1000;583;526
0.081002;1000;582;526
0.082002;1000;579;526
0.083002;1000;578;526
0.084002;1000;579;525
0.085002;1000;578;526
0.086002;1000;575;526
0.087002;1000;574;527
0.088002;1000;573;526
0.089002;1000;572;526
0.090002;1000;572;529
0.091002;1000;571;524
0.092002;1000;571;527
0.093002;1000;571;526
0.094002;1000;573;526
0.095002;1000;574;527
0.096002;1000;574;527
0.097002;1000;575;528
0.098002;1000;574;528
0.099002;1000;571;527
0.1;1000;568;527
0.101;1000;564;528
0.102;1000;562;529
0.103;1000;559;526
0.104;1000;556;527
0.105;1000;556;530
0.106;1000;554;525
0.107;1000;550;529
0.108;1000;544;526
0.109;1000;538;527
0.11;1000;534;527
0.111;1000;531;527
0.112;1000;530;527
0.113;1000;528;526
0.114;1000;527;526
0.115;1000;526;527
0.116;1000;525;527
0.117;1000;523;526
0.118;1000;520;531
0.119;1000;517;527
0.12;1000;513;527
0.121;1000;509;526
0.122;1000;505;527
0.123;1000;503;528
0.124;1000;499;527
0.125;1000;496;527
0.126;1000;493;529
0.127;1000;488;527
0.128;1000;481;529
0.129;1000;477;527
0.13;1000;473;528
0.131;1000;469;526
0.132;1000;467;531
0.133;1000;466;527
0.134;1000;466;530
0.135;1000;465;530
0.136;1000;464;527
0.137;1000;463;528
0.138;1000;462;527
0.139;1000;460;527
0.14;1000;457;527
0.141;1000;455;528
0.142;1000;452;527
0.143;1000;449;528
0.144;1000;447;526
0.145;1000;444;528
0.146;1000;440;528
0.147;1000;436;528
0.148;1000;432;528
0.149;1000;429;527
0.15;1000;427;527
0.151;1000;428;531
0.152;1000;430;526
0.153;1000;432;529
0.154;1000;434;525
0.155;1000;436;527
0.156;1000;436;527
0.157;1000;436;527
0.158;1000;436;526
0.159;1000;435;526
0.16;1000;434;527
0.161;1000;434;527
0.162;1000;432;525
0.163;1000;429;528
0.164;1000;425;526
0.165;1000;423;527
0.166;1000;421;525
0.167;1000;420;528
0.168;1000;419;526
0.169;1000;418;525
0.17;1000;419;529
0.171;1000;420;526
0.172;1000;422;525
0.173;1000;425;525
0.174;1000;428;524
0.175;1000;430;524
0.176;1000;431;525
0.177;1000;430;525
0.178;1000;430;525
0.179;1000;430;524
0.18;1000;431;525
0.181;1000;434;522
0.182;1000;437;527
0.183;1000;438;523
0.184;1000;439;525
0.185;1000;438;526
0.186;1000;432;524
0.187;1000;429;523
0.188;1000;427;522
0.189;1000;425;521
0.19;1000;425;522
0.191;1000;427;523
0.192;1000;431;523
0.193;1000;436;521
0.194;1000;441;521
0.195;1000;444;523
0.196;1000;446;523
0.197;1000;448;520
0.198;1000;451;524
0.199;1000;451;521
0.20001;1000;449;522
0.20101;1000;447;522
0.20201;1000;447;521
0.20301;1000;446;520
0.20401;1000;445;519
0.20501;1000;445;520
0.20601;1000;446;520
0.20701;1000;447;519
0.20801;1000;448;521
0.20901;1000;448;519
0.21001;1000;446;519
0.21101;1000;447;520
0.21201;1000;449;518
0.21301;1000;451;521
0.21401;1000;455;518
0.21501;1000;459;518
0.21601;1000;462;521
0.21701;1000;463;520
0.21801;1000;463;518
0.21901;1000;463;517
0.22001;1000;463;517
0.22101;1000;464;518
0.22201;1000;465;517
0.22301;1000;466;518
0.22401;1000;466;516
0.22501;1000;465;517
0.22601;1000;463;517
0.22701;1000;460;518
0.22801;1000;457;518
0.22901;1000;456;515
0.23001;1000;456;515
0.23101;1000;459;520
0.23201;1000;461;514
0.23301;1000;464;519
0.23401;1000;468;515
0.23501;1000;472;518
0.23601;1000;472;515
0.23701;1000;471;513
0.23801;1000;473;515
0.23901;1000;475;513
0.24001;1000;476;515
0.24101;1000;476;515
0.24201;1000;476;515
0.24301;1000;475;514
0.24401;1000;474;514
0.24501;1000;473;515
0.24601;1000;471;515
0.24701;1000;469;513
0.24801;1000;467;517
0.24901;1000;467;514
0.25001;1000;468;515
0.25101;1000;469;513
0.25201;1000;471;516
0.25301;1000;475;514
0.25401;1000;478;513
0.25501;1000;479;513
0.25601;1000;480;514
0.25701;1000;481;515
0.25801;1000;481;515
0.25901;1000;482;513
0.26001;1000;482;514
0.26101;1000;482;515
0.26201;1000;483;515
0.26301;1000;482;515
0.26401;1000;481;511
0.26501;1000;480;513
0.26601;1000;480;512
0.26701;1000;477;513
0.26801;1000;475;514
0.26901;1000;478;513
0.27001;1000;480;513
0.27101;1000;481;514
0.27201;1000;481;515
0.27301;1000;482;515
0.27401;1000;485;514
0.27501;1000;489;514
0.27601;1000;490;515
0.27701;1000;489;515
0.27801;1000;488;515
0.27901;1000;490;512
0.28001;1000;490;515
0.28101;1000;491;513
0.28201;1000;491;514
0.28301;1000;491;518
0.28401;1000;491;513
0.28501;1000;489;515
0.28601;1000;487;515
0.28701;1000;487;514
0.28801;1000;485;514
0.28901;1000;486;513
0.29001;1000;486;515
0.29101;1000;487;513
0.29201;1000;489;517
0.29301;1000;492;515
0.29401;1000;494;513
0.29501;1000;496;513
0.29601;1000;499;516
0.29701;1000;499;518
0.29801;1000;498;516
0.29901;1000;499;515
0.30001;1000;500;516
0.30101;1000;500;515
0.30201;1000;499;515
0.30301;1000;496;515
0.30401;1000;496;514
0.30501;1000;496;515
0.30601;1000;495;516
0.30701;1000;494;517
0.30801;1000;494;516
0.30901;1000;495;515
0.31001;1000;495;515
0.31101;1000;495;519
0.31201;1000;494;514
0.31301;1000;495;518
0.31401;1000;497;514
0.31501;1000;499;516
0.31601;1000;500;516
0.31701;1000;502;516
0.31801;1000;502;515
0.31901;1000;502;515
0.32001;1000;502;516
0.32101;1000;502;516
0.32201;1000;502;515
0.32301;1000;502;518
0.32401;1000;502;516
0.32501;1000;500;517
0.32601;1000;499;515
0.32701;1000;497;518
0.32801;1000;494;517
0.32901;1000;492;516
0.33001;1000;493;520
0.33101;1000;492;517
0.33201;1000;493;516
0.33301;1000;496;516
0.33401;1000;496;516
0.33501;1000;497;516
0.33601;1000;499;517
0.33701;1000;499;517
0.33801;1000;499;517
0.33901;1000;498;516
0.34001;1000;498;517
0.34101;1000;500;517
0.34201;1000;502;515
0.34301;1000;504;518
0.34401;1000;503;515
0.34501;1000;502;516
0.34601;1000;499;520
0.34701;1000;495;519
0.34801;1000;492;517
0.34901;1000;491;516
0.35001;1000;491;517
0.35101;1000;492;517
0.35201;1000;493;517
0.35301;1000;496;518
0.35401;1000;501;516
0.35501;1000;504;516
0.35601;1000;505;519
0.35701;1000;506;516
0.35801;1000;507;520
0.35901;1000;508;515
0.36001;1000;508;519
0.36101;1000;508;518
0.36201;1000;507;516
0.36301;1000;506;516
0.36401;1000;505;515
0.36501;1000;504;518
0.36601;1000;501;518
