time;SamplingFrequency;ECG;Pulse
0;1000;32.998;78.699
0.001;1000;121.08;200.69
0.0020001;1000;208.71;322.11
0.0030001;1000;295.4;442.38
0.0040001;1000;380.71;560.92
0.0050001;1000;464.2;677.21
0.0060002;1000;545.46;790.7
0.0070002;1000;624.09;900.92
0.0080002;1000;699.74;1007.4
0.0090002;1000;772.07;1109.7
0.01;1000;840.8;1207.5
0.011;1000;905.66;1300.4
0.012;1000;966.43;1388.2
0.013;1000;1022.9;1470.6
0.014;1000;1075;1547.4
0.015;1000;1122.6;1618.4
0.016;1000;1165.5;1683.6
0.017;1000;1203.8;1742.8
0.018;1000;1237.5;1796.2
0.019;1000;1266.6;1843.7
0.020001;1000;1291.2;1885.3
0.021001;1000;1311.3;1921.2
0.022001;1000;1327.2;1951.5
0.023001;1000;1338.8;1976.4
0.024001;1000;1346.5;1996
0.025001;1000;1350.3;2010.7
0.026001;1000;1350.6;2020.5
0.027001;1000;1347.4;2025.8
0.028001;1000;1341;2026.7
0.029001;1000;1331.7;2023.7
0.030001;1000;1319.7;2017
0.031001;1000;1305.1;2006.7
0.032001;1000;1288.3;1993.3
0.033001;1000;1269.5;1977
0.034001;1000;1248.9;1958
0.035001;1000;1226.6;1936.7
0.036001;1000;1203;1913.2
0.037001;1000;1178.2;1887.8
0.038001;1000;1152.4;1860.8
0.039001;1000;1125.8;1832.3
0.040001;1000;1098.6;1802.6
0.041001;1000;1070.8;1771.9
0.042001;1000;1042.7;1740.4
0.043001;1000;1014.4;1708.1
0.044001;1000;985.96;1675.3
0.045001;1000;957.53;1642.1
0.046001;1000;929.18;1608.6
0.047001;1000;901.02;1575
0.048001;1000;873.09;1541.2
0.049001;1000;845.47;1507.5
0.050001;1000;818.21;1473.9
0.051001;1000;791.34;1440.4
0.052001;1000;764.91;1407.2
0.053001;1000;738.94;1374.2
0.054001;1000;713.46;1341.4
0.055001;1000;688.48;1309.1
0.056001;1000;664.02;1277.1
0.057001;1000;640.08;1245.4
0.058001;1000;616.67;1214.2
0.059001;1000;593.79;1183.4
0.060002;1000;571.44;1152.9
0.061002;1000;549.62;1123
0.062002;1000;528.32;1093.4
0.063002;1000;507.54;1064.3
0.064002;1000;487.28;1035.6
0.065002;1000;467.53;1007.3
0.066002;1000;448.28;979.41
0.067002;1000;429.53;951.97
0.068002;1000;411.26;924.95
0.069002;1000;393.47;898.34
0.070002;1000;376.15;872.13
0.071002;1000;359.28;846.33
0.072002;1000;342.87;820.93
0.073002;1000;326.9;795.92
0.074002;1000;311.36;771.29
0.075002;1000;296.24;747.05
0.076002;1000;281.52;723.19
0.077002;1000;267.2;699.71
0.078002;1000;253.25;676.59
0.079002;1000;239.68;653.84
0.080002;1000;226.45;631.45
0.081002;1000;213.56;609.42
0.082002;1000;200.99;587.73
0.083002;1000;188.73;566.4
0.084002;1000;176.75;545.4
0.085002;1000;165.05;524.74
0.086002;1000;153.61;504.41
0.087002;1000;142.41;484.41
0.088002;1000;131.43;464.73
0.089002;1000;120.68;445.36
0.090002;1000;110.11;426.31
0.091002;1000;99.741;407.56
0.092002;1000;89.542;389.12
0.093002;1000;79.505;370.97
0.094002;1000;69.622;353.12
0.095002;1000;59.883;335.55
0.096002;1000;50.28;318.27
0.097002;1000;40.806;301.26
0.098002;1000;31.456;284.54
0.099002;1000;22.226;268.09
0.1;1000;13.11;251.91
0.101;1000;4.1078;236
0.102;1000;-4.784;220.36
0.103;1000;-13.566;204.98
0.104;1000;-22.24;189.86
0.105;1000;-30.804;175.01
0.106;1000;-39.259;160.41
0.107;1000;-47.603;146.07
0.108;1000;-55.836;131.99
0.109;1000;-63.956;118.17
0.11;1000;-71.962;104.6
0.111;1000;-79.852;91.28
0.112;1000;-87.624;78.215
0.113;1000;-95.276;65.4
0.114;1000;-102.81;52.835
0.115;1000;-110.21;40.517
0.116;1000;-117.5;28.443
0.117;1000;-124.65;16.613
0.118;1000;-131.67;5.0237
0.119;1000;-138.56;-6.328
0.12;1000;-145.32;-17.445
0.121;1000;-151.94;-28.329
0.122;1000;-158.41;-38.985
0.123;1000;-164.75;-49.416
0.124;1000;-170.93;-59.625
0.125;1000;-176.96;-69.615
0.126;1000;-182.84;-79.391
0.127;1000;-188.56;-88.956
0.128;1000;-194.11;-98.314
0.129;1000;-199.49;-107.47
0.13;1000;-204.71;-116.42
0.131;1000;-209.74;-125.18
0.132;1000;-214.6;-133.74
0.133;1000;-219.27;-142.11
0.134;1000;-223.75;-150.29
0.135;1000;-228.05;-158.28
0.136;1000;-232.15;-166.1
0.137;1000;-236.06;-173.73
0.138;1000;-239.77;-181.18
0.139;1000;-243.29;-188.45
0.14;1000;-246.62;-195.54
0.141;1000;-249.75;-202.46
0.142;1000;-252.69;-209.2
0.143;1000;-255.44;-215.77
0.144;1000;-258.01;-222.17
0.145;1000;-260.4;-228.39
0.146;1000;-262.6;-234.45
0.147;1000;-264.64;-240.34
0.148;1000;-266.51;-246.05
0.149;1000;-268.21;-251.6
0.15;1000;-269.76;-256.98
0.151;1000;-271.16;-262.2
0.152;1000;-272.41;-267.26
0.153;1000;-273.52;-272.15
0.154;1000;-274.5;-276.89
