time;SamplingFrequency;ECG
0;100;484
0.010003;100;442
0.020005;100;455
0.030008;100;423
0.04001;100;444
0.050013;100;431
0.060015;100;454
0.070018;100;436
0.08002;100;480
0.090023;100;457
0.10003;100;483
0.11003;100;470
0.12003;100;482
0.13003;100;491
0.14004;100;494
0.15004;100;498
0.16004;100;507
0.17004;100;503
0.18005;100;504
0.19005;100;481
0.20005;100;501
0.21005;100;494
0.22006;100;513
0.23006;100;494
0.24006;100;511
0.25006;100;496
0.26007;100;514
0.27007;100;494
0.28007;100;512
0.29007;100;504
0.30008;100;520
0.31008;100;496
0.32008;100;525
0.33008;100;496
0.34009;100;509
0.35009;100;514
0.36009;100;511
0.37009;100;500
0.3801;100;520
0.3901;100;501
0.4001;100;524
0.4101;100;509
0.42011;100;519
0.43011;100;494
0.44011;100;514
0.45011;100;502
0.46012;100;524
0.47012;100;513
0.48012;100;524
0.49012;100;507
0.50013;100;528
0.51013;100;508
0.52013;100;532
0.53013;100;520
0.54014;100;519
0.55014;100;501
0.56014;100;524
0.57014;100;481
0.58015;100;509
0.59015;100;498
0.60015;100;512
0.61015;100;502
0.62016;100;509
0.63016;100;467
0.64016;100;557
0.65016;100;661
0.66017;100;769
0.67017;100;545
0.68017;100;465
0.69017;100;440
0.70018;100;470
0.71018;100;471
0.72018;100;483
0.73018;100;471
0.74019;100;479
0.75019;100;477
0.76019;100;499
0.77019;100;505
0.7802;100;492
0.7902;100;502
0.8002;100;523
0.8102;100;503
0.82021;100;527
0.83021;100;513
0.84021;100;541
0.85021;100;528
0.86022;100;554
0.87022;100;547
0.88022;100;572
0.89022;100;558
0.90023;100;572
0.91023;100;559
0.92023;100;545
0.93023;100;507
0.94024;100;479
0.95024;100;445
0.96024;100;457
0.97024;100;420
0.98025;100;434
0.99025;100;433
1.0003;100;443
1.0103;100;461
1.0203;100;465
1.0303;100;460
1.0403;100;474
1.0503;100;466
1.0603;100;487
1.0703;100;479
1.0803;100;487
1.0903;100;492
1.1003;100;506
1.1103;100;505
1.1203;100;503
1.1303;100;485
1.1403;100;498
1.1503;100;492
1.1603;100;501
1.1703;100;487
1.1803;100;516
1.1903;100;498
1.2003;100;515
1.2103;100;493
1.2203;100;513
1.2303;100;495
1.2403;100;513
1.2503;100;504
1.2603;100;516
1.2703;100;497
1.2803;100;522
1.2903;100;503
1.3003;100;523
1.3103;100;492
1.3203;100;510
1.3303;100;511
1.3403;100;517
1.3503;100;496
1.3603;100;524
1.3703;100;505
1.3803;100;519
1.3903;100;497
1.4004;100;520
1.4104;100;500
1.4204;100;520
1.4304;100;500
1.4404;100;525
1.4504;100;512
1.4604;100;524
1.4704;100;508
1.4804;100;525
1.4904;100;520
1.5004;100;527
1.5104;100;492
1.5204;100;505
1.5304;100;496
1.5404;100;513
1.5504;100;497
1.5604;100;515
1.5704;100;510
1.5804;100;516
1.5904;100;462
1.6004;100;503
1.6104;100;630
1.6204;100;766
1.6304;100;607
1.6404;100;464
1.6504;100;441
1.6604;100;475
1.6704;100;458
1.6804;100;466
1.6904;100;471
1.7004;100;485
1.7104;100;487
1.7204;100;493
1.7304;100;486
1.7404;100;502
1.7504;100;498
1.7604;100;521
1.7704;100;513
1.7804;100;512
1.7904;100;518
1.8005;100;539
1.8105;100;523
1.8205;100;551
1.8305;100;545
1.8405;100;569
1.8505;100;559
1.8605;100;587
1.8705;100;560
1.8805;100;551
1.8905;100;518
1.9005;100;485
1.9105;100;449
1.9205;100;445
1.9305;100;427
1.9405;100;448
1.9505;100;431
1.9605;100;445
1.9705;100;446
1.9805;100;458
1.9905;100;460
2.0005;100;477
2.0105;100;474
2.0205;100;484
2.0305;100;479
2.0405;100;492
2.0505;100;480
2.0605;100;508
2.0705;100;477
2.0805;100;502
2.0905;100;495
2.1005;100;506
2.1105;100;503
2.1205;100;502
2.1305;100;498
2.1405;100;500
2.1505;100;492
2.1605;100;517
2.1705;100;488
2.1805;100;509
2.1905;100;508
2.2006;100;510
2.2106;100;499
2.2206;100;512
2.2306;100;489
2.2406;100;514
2.2506;100;504
2.2606;100;514
2.2706;100;505
2.2806;100;511
2.2906;100;496
2.3006;100;514
2.3106;100;504
2.3206;100;512
2.3306;100;495
2.3406;100;509
2.3506;100;504
2.3606;100;514
2.3706;100;510
2.3806;100;515
2.3906;100;511
2.4006;100;518
2.4106;100;515
2.4206;100;505
2.4306;100;488
2.4406;100;516
2.4506;100;496
2.4606;100;506
2.4706;100;495
2.4806;100;503
2.4906;100;496
2.5006;100;504
2.5106;100;463
2.5206;100;535
2.5306;100;661
2.5406;100;773
2.5506;100;530
2.5606;100;459
2.5706;100;451
2.5806;100;467
2.5906;100;456
2.6007;100;487
2.6107;100;470
2.6207;100;482
