time;SamplingFrequency;ECG
3.5409;100;490
3.5509;100;494
3.5609;100;493
3.5709;100;499
3.5809;100;495
3.5909;100;505
3.6009;100;499
3.6109;100;510
3.6209;100;503
3.6309;100;505
3.6409;100;496
3.6509;100;503
3.6609;100;506
3.6709;100;511
3.6809;100;508
3.6909;100;512
3.7009;100;506
3.7109;100;512
3.7209;100;507
3.7309;100;512
3.7409;100;508
3.7509;100;514
3.7609;100;508
3.7709;100;519
3.7809;100;515
3.7909;100;510
3.801;100;510
3.811;100;526
3.821;100;511
3.831;100;527
3.841;100;524
3.851;100;524
3.861;100;508
3.871;100;501
3.881;100;497
3.891;100;505
3.901;100;498
3.911;100;508
3.921;100;504
3.931;100;512
3.941;100;504
3.951;100;481
3.961;100;553
3.971;100;687
3.981;100;730
3.991;100;494
4.001;100;451
4.011;100;462
4.021;100;467
4.031;100;482
4.041;100;475
4.051;100;492
4.061;100;489
4.071;100;498
4.081;100;495
4.091;100;511
4.101;100;502
4.111;100;515
4.121;100;508
4.131;100;526
4.141;100;513
4.151;100;531
4.161;100;531
4.171;100;543
4.181;100;553
4.191;100;574
4.2011;100;572
4.2111;100;589
4.2211;100;582
4.2311;100;589
4.2411;100;566
4.2511;100;544
4.2611;100;500
4.2711;100;479
4.2811;100;447
4.2911;100;429
4.3011;100;421
4.3111;100;429
4.3211;100;426
4.3311;100;434
4.3411;100;439
4.3511;100;456
4.3611;100;454
4.3711;100;468
4.3811;100;472
4.3911;100;478
4.4011;100;488
4.4111;100;489
4.4211;100;486
4.4311;100;496
4.4411;100;497
4.4511;100;508
4.4611;100;496
4.4711;100;502
4.4811;100;494
4.4911;100;500
4.5011;100;497
4.5111;100;508
4.5211;100;499
4.5311;100;512
4.5411;100;501
4.5511;100;505
4.5611;100;497
4.5711;100;504
4.5811;100;507
4.5911;100;515
4.6012;100;506
4.6112;100;510
4.6212;100;503
4.6312;100;511
4.6412;100;506
4.6512;100;515
4.6612;100;512
4.6712;100;514
4.6812;100;507
4.6912;100;506
4.7012;100;506
4.7112;100;509
4.7212;100;506
4.7312;100;510
4.7412;100;515
4.7512;100;514
4.7612;100;508
4.7712;100;526
4.7812;100;518
4.7912;100;519
4.8012;100;505
4.8112;100;505
4.8212;100;508
4.8312;100;507
4.8412;100;496
4.8512;100;512
4.8612;100;505
4.8712;100;508
4.8812;100;480
4.8912;100;527
4.9012;100;656
4.9112;100;766
4.9212;100;592
4.9312;100;456
4.9412;100;454
4.9512;100;464
4.9612;100;461
4.9712;100;469
4.9812;100;479
4.9912;100;486
5.0013;100;481
5.0113;100;496
5.0213;100;497
5.0313;100;503
5.0413;100;499
5.0513;100;512
5.0613;100;504
5.0713;100;515
5.0813;100;520
5.0913;100;531
5.1013;100;532
5.1113;100;551
5.1213;100;550
5.1313;100;568
5.1413;100;581
5.1513;100;583
5.1613;100;575
5.1713;100;583
5.1813;100;556
5.1913;100;523
5.2013;100;486
5.2113;100;462
5.2213;100;433
5.2313;100;431
5.2413;100;422
5.2513;100;432
5.2613;100;440
5.2713;100;443
5.2813;100;448
5.2913;100;461
5.3013;100;468
5.3113;100;472
5.3213;100;476
5.3313;100;480
5.3413;100;487
5.3513;100;494
5.3613;100;489
5.3713;100;495
5.3813;100;497
5.3913;100;499
5.4014;100;503
5.4114;100;500
5.4214;100;503
5.4314;100;507
5.4414;100;501
5.4514;100;505
5.4614;100;497
5.4714;100;503
5.4814;100;506
5.4914;100;511
5.5014;100;510
5.5114;100;509
5.5214;100;505
5.5314;100;508
5.5414;100;507
5.5514;100;510
5.5614;100;507
5.5714;100;511
5.5814;100;509
5.5914;100;511
5.6014;100;509
5.6114;100;512
5.6214;100;513
5.6314;100;518
5.6414;100;501
5.6514;100;518
5.6614;100;515
5.6714;100;511
5.6814;100;507
5.6914;100;514
5.7014;100;507
5.7114;100;511
5.7214;100;514
5.7314;100;516
5.7414;100;507
5.7514;100;514
5.7614;100;504
5.7714;100;512
5.7814;100;509
5.7914;100;518
5.8015;100;502
5.8115;100;521
5.8215;100;512
5.8315;100;516
5.8415;100;520
5.8515;100;531
5.8615;100;515
5.8715;100;515
5.8815;100;497
5.8915;100;506
5.9015;100;503
5.9115;100;501
5.9215;100;502
5.9315;100;503
5.9415;100;503
5.9515;100;506
5.9615;100;471
5.9715;100;546
5.9815;100;676
5.9915;100;770
6.0015;100;555
6.0115;100;455
6.0215;100;454
6.0315;100;459
6.0415;100;463
6.0515;100;475
6.0615;100;474
6.0715;100;485
6.0815;100;481
6.0915;100;496
6.1015;100;493
6.1115;100;501
6.1215;100;500
6.1315;100;505
6.1415;100;508
6.1515;100;519
6.1615;100;520
6.1715;100;531
6.1815;100;534
6.1915;100;547
6.2016;100;557
6.2116;100;571
6.2216;100;573
6.2316;100;587
6.2416;100;584
6.2516;100;579
6.2616;100;555
6.2716;100;524
6.2816;100;486
6.2916;100;459
6.3016;100;434
6.3116;100;427
6.3216;100;428
6.3316;100;442
6.3416;100;437
6.3516;100;447
6.3616;100;445
6.3716;100;457
6.3816;100;451
6.3916;100;473
6.4016;100;473
6.4116;100;485
6.4216;100;480
6.4316;100;497
6.4416;100;492
6.4516;100;498
6.4616;100;493
6.4716;100;504
6.4816;100;499
6.4916;100;502
6.5016;100;501
6.5116;100;502
6.5216;100;501
6.5316;100;505
6.5416;100;498
6.5516;100;509
6.5616;100;507
6.5716;100;513
6.5816;100;503
6.5916;100;510
6.6017;100;508
6.6117;100;512
6.6217;100;506
6.6317;100;508
6.6417;100;507
6.6517;100;514
6.6617;100;507
6.6717;100;516
6.6817;100;512
6.6917;100;511
6.7017;100;509
6.7117;100;516
6.7217;100;509
6.7317;100;511
6.7417;100;511
6.7517;100;505
6.7617;100;506
6.7717;100;514
6.7817;100;512
6.7917;100;510
6.8017;100;508
6.8117;100;517
6.8217;100;504
6.8317;100;514
6.8417;100;513
6.8517;100;520
6.8617;100;521
6.8717;100;526
6.8817;100;516
6.8917;100;514
6.9017;100;502
6.9117;100;504
6.9217;100;496
6.9317;100;504
6.9417;100;497
6.9517;100;513
6.9617;100;495
6.9717;100;511
6.9817;100;501
6.9917;100;493
7.0018;100;521
7.0118;100;657
7.0218;100;745
7.0318;100;553
7.0418;100;446
7.0518;100;460
7.0618;100;459
7.0718;100;478
7.0818;100;469
7.0918;100;485
7.1018;100;488
7.1118;100;492
7.1218;100;492
7.1318;100;499
7.1418;100;501
7.1518;100;512
7.1618;100;504
7.1718;100;515
7.1818;100;514
7.1918;100;534
7.2018;100;528
7.2118;100;542
7.2218;100;536
7.2318;100;558
7.2418;100;574
7.2518;100;580
7.2618;100;580
7.2718;100;591
7.2818;100;581
7.2918;100;557
7.3018;100;518
7.3118;100;489
7.3218;100;449
7.3318;100;440
7.3418;100;416
7.3518;100;424
7.3618;100;422
7.3718;100;438
7.3818;100;438
7.3918;100;455
7.4019;100;452
7.4119;100;454
7.4219;100;466
7.4319;100;475
7.4419;100;476
7.4519;100;487
7.4619;100;488
7.4719;100;496
7.4819;100;494
7.4919;100;496
7.5019;100;497
7.5119;100;505
7.5219;100;494
7.5319;100;498
7.5419;100;497
7.5519;100;507
7.5619;100;500
7.5719;100;504
7.5819;100;502
7.5919;100;507
7.6019;100;503
7.6119;100;510
7.6219;100;504
7.6319;100;508
7.6419;100;511
7.6519;100;507
7.6619;100;504
7.6719;100;514
7.6819;100;510
7.6919;100;515
7.7019;100;508
7.7119;100;510
7.7219;100;512
7.7319;100;524
7.7419;100;513
7.7519;100;517
7.7619;100;521
7.7719;100;531
7.7819;100;517
7.7919;100;510
7.802;100;501
7.812;100;509
7.822;100;497
7.832;100;509
7.842;100;499
7.852;100;508
7.862;100;506
7.872;100;507
7.882;100;494
7.892;100;481
7.902;100;557
7.912;100;696
7.922;100;739
7.932;100;499
7.942;100;448
7.952;100;461
7.962;100;462
7.972;100;480
7.982;100;478
7.992;100;486
8.002;100;484
8.012;100;498
8.022;100;490
8.032;100;504
8.042;100;497
8.052;100;507
8.062;100;507
8.072;100;511
8.082;100;520
8.092;100;530
8.102;100;532
8.112;100;539
8.122;100;545
8.132;100;562
8.142;100;568
8.152;100;587
8.162;100;583
8.172;100;583
8.182;100;566
8.192;100;544
8.2021;100;500
8.2121;100;472
8.2221;100;440
8.2321;100;436
8.2421;100;423
8.2521;100;427
8.2621;100;423
8.2721;100;436
8.2821;100;440
8.2921;100;456
8.3021;100;457
8.3121;100;468
8.3221;100;472
8.3321;100;483
8.3421;100;482
8.3521;100;489
8.3621;100;493
8.3721;100;497
8.3821;100;495
8.3921;100;503
8.4021;100;498
8.4121;100;504
8.4221;100;498
8.4321;100;505
8.4421;100;497
8.4521;100;511
8.4621;100;498
8.4721;100;513
8.4821;100;499
8.4921;100;509
8.5021;100;502
8.5121;100;514
8.5221;100;505
8.5321;100;510
8.5421;100;508
8.5521;100;509
8.5621;100;507
8.5721;100;517
8.5821;100;512
8.5921;100;511
8.6022;100;504
8.6122;100;511
8.6222;100;506
8.6322;100;515
8.6422;100;505
8.6522;100;508
8.6622;100;507
8.6722;100;512
8.6822;100;509
8.6922;100;518
8.7022;100;501
8.7122;100;513
8.7222;100;510
8.7322;100;516
8.7422;100;508
8.7522;100;512
8.7622;100;503
8.7722;100;513
8.7822;100;514
8.7922;100;514
8.8022;100;509
8.8122;100;517
8.8222;100;515
8.8322;100;513
8.8422;100;519
8.8522;100;523
8.8622;100;520
8.8722;100;514
8.8822;100;505
8.8922;100;505
8.9022;100;495
8.9122;100;510
8.9222;100;499
8.9322;100;508
8.9422;100;505
8.9522;100;505
8.9622;100;494
8.9722;100;483
8.9822;100;559
8.9922;100;704
9.0023;100;758
9.0123;100;524
9.0223;100;444
9.0323;100;450
9.0423;100;463
9.0523;100;467
9.0623;100;472
9.0723;100;480
9.0823;100;483
9.0923;100;484
9.1023;100;490
9.1123;100;496
9.1223;100;493
9.1323;100;507
9.1423;100;501
9.1523;100;515
9.1623;100;513
9.1723;100;525
9.1823;100;527
9.1923;100;537
9.2023;100;543
9.2123;100;561
9.2223;100;555
9.2323;100;585
9.2423;100;583
9.2523;100;584
9.2623;100;573
9.2723;100;563
9.2823;100;507
9.2923;100;484
9.3023;100;454
9.3123;100;435
9.3223;100;428
9.3323;100;425
9.3423;100;424
9.3523;100;442
9.3623;100;437
9.3723;100;453
9.3823;100;454
9.3923;100;465
9.4024;100;466
9.4124;100;479
9.4224;100;472
9.4324;100;486
9.4424;100;485
9.4524;100;496
9.4624;100;492
9.4724;100;498
9.4824;100;496
9.4924;100;509
9.5024;100;496
9.5124;100;505
9.5224;100;498
9.5324;100;503
9.5424;100;502
9.5524;100;506
9.5624;100;501
9.5724;100;511
9.5824;100;502
9.5924;100;516
9.6024;100;500
9.6124;100;515
9.6224;100;501
9.6324;100;509
9.6424;100;504
9.6524;100;514
9.6624;100;508
9.6724;100;508
9.6824;100;492
9.6924;100;515
9.7024;100;506
9.7124;100;510
9.7224;100;507
9.7324;100;518
9.7424;100;504
9.7524;100;509
9.7624;100;512
9.7724;100;511
9.7824;100;512
9.7924;100;512
9.8025;100;511
9.8125;100;513
9.8225;100;509
9.8325;100;514
9.8425;100;508
9.8525;100;516
9.8625;100;509
9.8725;100;514
9.8825;100;508
9.8925;100;516
9.9025;100;513
9.9125;100;516
9.9225;100;502
9.9325;100;506
9.9425;100;506
9.9525;100;514
9.9625;100;518
9.9725;100;515
9.9825;100;515
9.9925;100;533
10.003;100;517
10.013;100;514
10.023;100;501
10.033;100;501
10.043;100;494
10.053;100;509
10.063;100;504
10.073;100;504
10.083;100;492
10.093;100;504
10.103;100;475
10.113;100;493
10.123;100;613
10.133;100;750
10.143;100;685
10.153;100;467
10.163;100;446
10.173;100;455
10.183;100;454
10.193;100;469
10.203;100;472
10.213;100;479
10.223;100;485
10.233;100;494
10.243;100;487
10.253;100;496
10.263;100;499
10.273;100;501
10.283;100;508
10.293;100;515
10.303;100;518
10.313;100;531
10.323;100;529
10.333;100;543
10.343;100;546
10.353;100;559
10.363;100;572
10.373;100;588
10.383;100;583
10.393;100;592
10.403;100;565
10.413;100;542
10.423;100;501
10.433;100;476
10.443;100;441
10.453;100;439
10.463;100;422
10.473;100;431
10.483;100;425
10.493;100;449
10.503;100;435
10.513;100;449
10.523;100;458
10.533;100;469
10.543;100;466
10.553;100;479
10.563;100;484
10.573;100;481
10.583;100;490
10.593;100;491
10.603;100;491
10.613;100;501
10.623;100;497
10.633;100;502
10.643;100;499
10.653;100;508
10.663;100;498
10.673;100;515
10.683;100;500
10.693;100;506
10.703;100;500
10.713;100;510
10.723;100;499
10.733;100;511
10.743;100;503
10.753;100;516
10.763;100;504
10.773;100;511
10.783;100;502
10.793;100;512
10.803;100;503
10.813;100;514
10.823;100;505
10.833;100;519
10.843;100;506
10.853;100;522
10.863;100;503
10.873;100;518
10.883;100;514
10.893;100;512
10.903;100;510
10.913;100;519
10.923;100;508
10.933;100;515
10.943;100;514
10.953;100;510
10.963;100;514
10.973;100;527
10.983;100;520
10.993;100;517
11.003;100;518
11.013;100;532
11.023;100;518
11.033;100;510
11.043;100;497
11.053;100;500
11.063;100;499
11.073;100;507
11.083;100;505
11.093;100;509
11.103;100;505
11.113;100;503
11.123;100;471
11.133;100;524
11.143;100;639
11.153;100;758
11.163;100;576
11.173;100;449
11.183;100;456
11.193;100;472
11.203;100;463
11.213;100;479
11.223;100;489
11.233;100;487
11.243;100;486
11.253;100;507
11.263;100;497
11.273;100;503
11.283;100;507
11.293;100;509
11.303;100;508
11.313;100;519
11.323;100;525
11.333;100;527
11.343;100;535
11.353;100;542
11.363;100;553
11.373;100;571
11.383;100;574
11.393;100;584
11.403;100;583
11.413;100;568
11.423;100;560
11.433;100;531
11.443;100;488
