time;SamplingFrequency;ECG;Pulse
0;1000;454;525
0.001;1000;453;524
0.0020001;1000;454;524
0.0030001;1000;454;524
0.0040001;1000;454;524
0.0050001;1000;449;525
0.0060002;1000;448;525
0.0070002;1000;452;523
0.0080002;1000;452;523
0.0090002;1000;454;524
0.01;1000;453;527
0.011;1000;449;525
0.012;1000;451;524
0.013;1000;459;522
0.014;1000;466;523
0.015;1000;471;524
0.016;1000;470;525
0.017;1000;468;524
0.018;1000;466;525
0.019;1000;467;524
0.020001;1000;471;525
0.021001;1000;475;523
0.022001;1000;480;528
0.023001;1000;481;524
0.024001;1000;480;524
0.025001;1000;479;526
0.026001;1000;480;521
0.027001;1000;479;526
0.028001;1000;476;522
0.029001;1000;474;523
0.030001;1000;472;524
0.031001;1000;471;525
0.032001;1000;469;523
0.033001;1000;469;521
0.034001;1000;471;523
0.035001;1000;474;525
0.036001;1000;477;525
0.037001;1000;480;524
0.038001;1000;483;523
0.039001;1000;483;526
0.040001;1000;483;524
0.041001;1000;482;523
0.042001;1000;478;523
0.043001;1000;478;521
0.044001;1000;480;521
0.045001;1000;479;523
0.046001;1000;478;523
0.047001;1000;479;522
0.048001;1000;478;520
0.049001;1000;480;521
0.050001;1000;483;523
0.051001;1000;483;522
0.052001;1000;486;522
0.053001;1000;487;520
0.054001;1000;489;521
0.055001;1000;487;526
0.056001;1000;480;520
0.057001;1000;473;524
0.058001;1000;475;519
0.059001;1000;477;520
0.060002;1000;480;522
0.061002;1000;484;523
0.062002;1000;487;520
0.063002;1000;486;519
0.064002;1000;483;520
0.065002;1000;486;521
0.066002;1000;488;519
0.067002;1000;486;524
0.068002;1000;481;519
0.069002;1000;481;520
0.070002;1000;483;519
0.071002;1000;482;521
0.072002;1000;480;522
0.073002;1000;478;519
0.074002;1000;473;520
0.075002;1000;470;521
0.076002;1000;472;519
0.077002;1000;481;518
0.078002;1000;488;519
0.079002;1000;491;517
0.080002;1000;491;519
0.081002;1000;492;519
0.082002;1000;494;518
0.083002;1000;498;518
0.084002;1000;502;517
0.085002;1000;501;516
0.086002;1000;502;521
0.087002;1000;500;515
0.088002;1000;500;520
0.089002;1000;505;516
0.090002;1000;504;517
0.091002;1000;499;517
0.092002;1000;491;516
0.093002;1000;486;514
0.094002;1000;484;515
0.095002;1000;481;516
0.096002;1000;480;517
0.097002;1000;481;516
0.098002;1000;482;516
0.099002;1000;491;515
0.1;1000;497;517
0.101;1000;498;517
0.102;1000;496;514
0.103;1000;492;515
0.104;1000;490;516
0.105;1000;488;514
0.106;1000;489;519
0.107;1000;490;514
0.108;1000;490;513
0.109;1000;487;514
0.11;1000;484;515
0.111;1000;482;515
0.112;1000;480;514
0.113;1000;481;512
0.114;1000;481;513
0.115;1000;482;515
0.116;1000;484;513
0.117;1000;483;518
0.118;1000;487;512
0.119;1000;494;513
0.12;1000;495;513
0.121;1000;497;516
0.122;1000;499;514
0.123;1000;502;512
0.124;1000;503;513
0.125;1000;506;514
0.126;1000;509;515
0.127;1000;510;513
0.128;1000;506;511
0.129;1000;500;513
0.13;1000;493;512
0.131;1000;490;516
0.132;1000;490;515
0.133;1000;493;513
0.134;1000;496;515
0.135;1000;496;515
0.136;1000;497;515
0.137;1000;499;515
0.138;1000;503;514
0.139;1000;506;512
0.14;1000;512;513
0.141;1000;514;514
0.142;1000;514;513
0.143;1000;512;511
0.144;1000;511;513
0.145;1000;508;514
0.146;1000;502;515
0.147;1000;497;514
0.148;1000;494;514
0.149;1000;488;513
0.15;1000;487;516
0.151;1000;490;514
0.152;1000;495;512
0.153;1000;499;510
0.154;1000;501;512
0.155;1000;504;516
0.156;1000;503;511
0.157;1000;502;514
0.158;1000;502;510
0.159;1000;500;512
0.16;1000;496;513
0.161;1000;499;514
0.162;1000;507;512
0.163;1000;511;512
0.164;1000;512;513
0.165;1000;511;514
0.166;1000;507;512
0.167;1000;505;515
0.168;1000;507;512
0.169;1000;509;513
0.17;1000;510;516
0.171;1000;505;515
0.172;1000;503;513
0.173;1000;502;512
0.174;1000;495;513
0.175;1000;490;515
0.176;1000;488;515
0.177;1000;491;515
0.178;1000;490;515
0.179;1000;486;514
0.18;1000;487;515
0.181;1000;489;513
0.182;1000;495;518
0.183;1000;501;513
0.184;1000;503;515
0.185;1000;506;518
0.186;1000;507;515
0.187;1000;508;515
0.188;1000;508;513
0.189;1000;505;514
0.19;1000;502;516
0.191;1000;498;516
0.192;1000;498;515
0.193;1000;502;513
0.194;1000;506;515
0.195;1000;508;517
0.196;1000;511;516
0.197;1000;512;515
0.198;1000;510;519
0.199;1000;511;515
0.20001;1000;513;518
0.20101;1000;513;518
0.20201;1000;512;516
0.20301;1000;509;513
0.20401;1000;510;514
0.20501;1000;511;516
0.20601;1000;513;516
0.20701;1000;512;515
0.20801;1000;510;516
0.20901;1000;508;515
0.21001;1000;506;516
0.21101;1000;506;517
0.21201;1000;502;515
0.21301;1000;498;515
0.21401;1000;498;516
0.21501;1000;502;514
0.21601;1000;504;519
0.21701;1000;505;516
0.21801;1000;505;514
0.21901;1000;509;515
0.22001;1000;512;516
0.22101;1000;515;516
0.22201;1000;518;515
0.22301;1000;520;516
0.22401;1000;519;514
0.22501;1000;516;517
0.22601;1000;513;517
0.22701;1000;515;516
0.22801;1000;513;517
0.22901;1000;512;515
0.23001;1000;509;517
0.23101;1000;508;518
0.23201;1000;506;514
0.23301;1000;502;515
0.23401;1000;501;516
0.23501;1000;500;515
0.23601;1000;499;518
0.23701;1000;503;515
0.23801;1000;510;515
0.23901;1000;517;516
0.24001;1000;519;517
0.24101;1000;518;518
0.24201;1000;516;515
0.24301;1000;515;516
0.24401;1000;516;517
0.24501;1000;518;519
0.24601;1000;519;518
0.24701;1000;520;517
0.24801;1000;519;515
0.24901;1000;518;515
0.25001;1000;516;519
0.25101;1000;514;516
0.25201;1000;512;516
0.25301;1000;511;515
0.25401;1000;510;516
0.25501;1000;508;517
0.25601;1000;508;518
0.25701;1000;512;517
0.25801;1000;516;515
0.25901;1000;521;516
0.26001;1000;523;519
0.26101;1000;522;518
0.26201;1000;522;516
0.26301;1000;517;520
0.26401;1000;513;517
0.26501;1000;512;518
0.26601;1000;515;519
0.26701;1000;519;517
0.26801;1000;519;515
0.26901;1000;515;516
0.27001;1000;511;518
0.27101;1000;506;518
0.27201;1000;505;517
0.27301;1000;508;518
0.27401;1000;509;516
0.27501;1000;505;518
0.27601;1000;496;518
0.27701;1000;496;516
0.27801;1000;500;516
0.27901;1000;505;517
0.28001;1000;512;517
0.28101;1000;514;520
0.28201;1000;518;518
0.28301;1000;516;515
0.28401;1000;512;516
0.28501;1000;511;518
0.28601;1000;508;518
0.28701;1000;502;517
0.28801;1000;495;517
0.28901;1000;497;516
0.29001;1000;503;516
0.29101;1000;505;519
0.29201;1000;507;519
0.29301;1000;510;517
0.29401;1000;512;519
0.29501;1000;513;518
0.29601;1000;515;518
0.29701;1000;516;517
0.29801;1000;516;515
0.29901;1000;516;516
0.30001;1000;519;516
0.30101;1000;524;516
0.30201;1000;526;516
0.30301;1000;525;513
0.30401;1000;524;515
0.30501;1000;520;516
0.30601;1000;515;516
0.30701;1000;518;516
0.30801;1000;523;513
0.30901;1000;517;515
0.31001;1000;508;519
0.31101;1000;502;514
0.31201;1000;498;518
0.31301;1000;493;513
0.31401;1000;496;515
0.31501;1000;502;518
0.31601;1000;505;515
0.31701;1000;505;515
0.31801;1000;504;515
0.31901;1000;510;514
0.32001;1000;515;515
0.32101;1000;514;515
0.32201;1000;514;515
0.32301;1000;513;515
0.32401;1000;512;514
0.32501;1000;512;515
0.32601;1000;514;516
0.32701;1000;512;515
0.32801;1000;509;514
0.32901;1000;507;513
0.33001;1000;509;515
0.33101;1000;519;513
0.33201;1000;527;512
0.33301;1000;527;513
0.33401;1000;523;512
0.33501;1000;519;513
0.33601;1000;520;514
0.33701;1000;521;513
0.33801;1000;524;513
0.33901;1000;527;513
0.34001;1000;528;514
0.34101;1000;530;515
0.34201;1000;527;514
0.34301;1000;519;511
0.34401;1000;513;513
0.34501;1000;518;517
0.34601;1000;523;512
0.34701;1000;523;515
0.34801;1000;519;513
0.34901;1000;512;513
0.35001;1000;507;515
0.35101;1000;508;513
0.35201;1000;508;516
0.35301;1000;509;512
0.35401;1000;509;514
0.35501;1000;512;516
0.35601;1000;516;515
0.35701;1000;519;514
0.35801;1000;523;513
0.35901;1000;528;514
0.36001;1000;531;513
0.36101;1000;525;516
0.36201;1000;512;516
0.36301;1000;504;513
0.36401;1000;502;514
0.36501;1000;502;515
0.36601;1000;500;515
0.36701;1000;498;515
0.36801;1000;498;515
0.36901;1000;498;514
0.37001;1000;501;514
0.37101;1000;502;518
0.37201;1000;508;516
0.37301;1000;516;513
0.37401;1000;521;517
0.37501;1000;523;518
0.37601;1000;523;515
0.37701;1000;524;515
0.37801;1000;526;512
0.37901;1000;530;513
0.38001;1000;532;515
0.38101;1000;533;515
0.38201;1000;536;514
0.38301;1000;540;512
0.38401;1000;543;513
0.38501;1000;539;515
0.38601;1000;534;515
0.38701;1000;529;514
0.38801;1000;524;512
0.38901;1000;520;513
0.39001;1000;515;516
0.39101;1000;512;512
0.39201;1000;513;515
0.39301;1000;515;512
0.39401;1000;517;514
0.39501;1000;520;514
0.39601;1000;521;514
0.39701;1000;521;513
0.39801;1000;521;511
0.39901;1000;523;512
0.40001;1000;520;514
0.40101;1000;517;514
0.40201;1000;516;513
0.40301;1000;515;514
0.40401;1000;517;512
0.40501;1000;519;514
0.40601;1000;519;515
0.40701;1000;516;512
0.40801;1000;513;512
0.40901;1000;510;514
0.41001;1000;507;513
0.41101;1000;507;517
0.41201;1000;510;514
0.41301;1000;509;511
0.41401;1000;508;512
0.41501;1000;506;514
0.41601;1000;509;515
0.41701;1000;513;513
0.41801;1000;513;514
0.41901;1000;511;512
0.42001;1000;509;512
0.42101;1000;506;516
0.42201;1000;502;515
0.42301;1000;501;513
0.42401;1000;504;515
0.42501;1000;507;515
0.42601;1000;514;515
0.42701;1000;520;513
0.42801;1000;520;512
0.42901;1000;517;513
0.43001;1000;511;515
0.43101;1000;507;515
0.43201;1000;507;514
0.43301;1000;510;515
0.43401;1000;513;513
0.43501;1000;514;515
0.43601;1000;512;515
0.43701;1000;507;514
0.43801;1000;507;514
0.43901;1000;506;514
0.44001;1000;507;513
0.44101;1000;508;518
0.44201;1000;509;515
0.44301;1000;512;514
0.44401;1000;515;514
0.44501;1000;515;514
0.44601;1000;512;514
0.44701;1000;510;514
0.44801;1000;505;515
0.44901;1000;503;513
0.45001;1000;505;513
0.45101;1000;506;516
0.45201;1000;505;516
0.45301;1000;504;514
0.45401;1000;506;516
0.45501;1000;507;516
0.45601;1000;505;516
0.45701;1000;504;515
0.45801;1000;510;513
0.45901;1000;517;514
0.46001;1000;519;515
0.46101;1000;519;515
0.46201;1000;519;514
0.46301;1000;515;512
0.46401;1000;509;513
0.46501;1000;504;515
0.46601;1000;504;515
0.46701;1000;509;514
0.46801;1000;506;512
0.46901;1000;503;513
0.47001;1000;505;517
0.47101;1000;505;512
0.47201;1000;503;516
0.47301;1000;502;510
0.47401;1000;501;513
0.47501;1000;502;515
0.47601;1000;503;514
0.47701;1000;504;513
0.47801;1000;504;511
0.47901;1000;504;512
0.48001;1000;501;514
0.48101;1000;502;515
0.48201;1000;506;514
0.48301;1000;510;514
0.48401;1000;513;512
0.48501;1000;514;514
0.48601;1000;511;512
0.48701;1000;506;517
0.48801;1000;505;512
0.48901;1000;503;512
0.49001;1000;501;516
0.49101;1000;499;512
0.49201;1000;498;514
0.49301;1000;495;511
0.49401;1000;490;512
0.49501;1000;486;514
0.49601;1000;482;514
0.49701;1000;479;513
0.49801;1000;477;514
0.49901;1000;477;512
0.50001;1000;477;512
0.50101;1000;476;516
0.50201;1000;475;515
0.50301;1000;478;512
0.50401;1000;484;513
0.50501;1000;488;514
0.50601;1000;496;512
0.50701;1000;508;516
0.50801;1000;515;513
0.50901;1000;519;514
0.51001;1000;526;515
0.51101;1000;533;516
0.51201;1000;543;514
0.51301;1000;556;512
0.51401;1000;574;514
0.51501;1000;587;517
0.51601;1000;600;515
0.51701;1000;617;514
0.51801;1000;636;517
0.51901;1000;656;515
0.52001;1000;675;516
0.52101;1000;688;516
0.52201;1000;697;514
0.52301;1000;709;513
0.52401;1000;721;513
0.52501;1000;728;515
0.52601;1000;740;515
0.52701;1000;754;514
0.52801;1000;768;515
0.52901;1000;778;514
0.53001;1000;785;515
0.53101;1000;787;515
0.53201;1000;789;513
0.53301;1000;788;514
0.53401;1000;781;515
0.53501;1000;769;514
0.53601;1000;748;518
0.53701;1000;721;515
0.53801;1000;691;512
0.53901;1000;660;514
0.54001;1000;624;514
0.54101;1000;591;514
0.54201;1000;563;513
0.54301;1000;542;514
0.54401;1000;525;513
0.54501;1000;513;515
0.54601;1000;507;515
0.54701;1000;501;515
0.54801;1000;491;515
0.54901;1000;481;514
0.55001;1000;470;515
0.55101;1000;467;516
0.55201;1000;466;514
0.55301;1000;462;513
0.55401;1000;461;513
0.55501;1000;458;515
0.55601;1000;456;513
0.55701;1000;456;512
0.55801;1000;455;513
