time;SamplingFrequency;ECG
0;100;510
0.010003;100;499
0.020005;100;514
0.030008;100;493
0.04001;100;510
0.050013;100;502
0.060015;100;521
0.070018;100;504
0.08002;100;517
0.090023;100;505
0.10003;100;512
0.11003;100;501
0.12003;100;518
0.13003;100;506
0.14004;100;520
0.15004;100;505
0.16004;100;513
0.17004;100;508
0.18005;100;518
0.19005;100;504
0.20005;100;526
0.21005;100;515
0.22006;100;525
0.23006;100;512
0.24006;100;528
0.25006;100;522
0.26007;100;512
0.27007;100;503
0.28007;100;505
0.29007;100;497
0.30008;100;515
0.31008;100;504
0.32008;100;520
0.33008;100;493
0.34009;100;499
0.35009;100;482
0.36009;100;595
0.37009;100;719
0.3801;100;700
0.3901;100;462
0.4001;100;472
0.4101;100;453
0.42011;100;475
0.43011;100;476
0.44011;100;484
0.45011;100;480
0.46012;100;495
0.47012;100;492
0.48012;100;508
0.49012;100;494
0.50013;100;518
0.51013;100;504
0.52013;100;519
0.53013;100;512
0.54014;100;539
0.55014;100;514
0.56014;100;541
0.57014;100;535
0.58015;100;558
0.59015;100;560
0.60015;100;580
0.61015;100;569
0.62016;100;596
0.63016;100;570
0.64016;100;568
0.65016;100;531
0.66017;100;508
0.67017;100;463
0.68017;100;452
0.69017;100;420
0.70018;100;435
0.71018;100;421
0.72018;100;443
0.73018;100;435
0.74019;100;455
0.75019;100;449
0.76019;100;468
0.77019;100;467
0.7802;100;482
0.7902;100;480
0.8002;100;495
0.8102;100;484
0.82021;100;500
0.83021;100;493
0.84021;100;508
0.85021;100;496
0.86022;100;509
0.87022;100;503
0.88022;100;501
0.89022;100;502
0.90023;100;507
0.91023;100;501
0.92023;100;516
0.93023;100;505
0.94024;100;512
0.95024;100;499
0.96024;100;520
0.97024;100;502
0.98025;100;515
0.99025;100;511
1.0003;100;518
1.0103;100;508
1.0203;100;519
1.0303;100;505
1.0403;100;520
1.0503;100;509
1.0603;100;520
1.0703;100;505
1.0803;100;523
1.0903;100;510
1.1003;100;517
1.1103;100;500
1.1203;100;519
1.1303;100;512
1.1403;100;521
1.1503;100;515
1.1603;100;514
1.1703;100;504
1.1803;100;521
1.1903;100;508
1.2003;100;523
1.2103;100;507
1.2203;100;521
1.2303;100;510
1.2403;100;528
1.2503;100;519
1.2603;100;526
1.2703;100;507
1.2803;100;510
1.2903;100;491
1.3003;100;513
1.3103;100;500
1.3203;100;514
1.3303;100;499
1.3403;100;505
1.3503;100;467
1.3603;100;555
1.3703;100;675
1.3803;100;768
1.3903;100;551
1.4004;100;462
1.4104;100;447
1.4204;100;467
1.4304;100;472
1.4404;100;468
1.4504;100;470
1.4604;100;494
1.4704;100;491
1.4804;100;504
1.4904;100;490
1.5004;100;513
1.5104;100;498
1.5204;100;513
1.5304;100;509
1.5404;100;529
