time;SamplingFrequency;ECG
0;100;412
0.010003;100;420
0.020005;100;429
0.030008;100;442
0.04001;100;455
0.050013;100;463
0.060015;100;449
0.070018;100;459
0.08002;100;481
0.090023;100;498
0.10003;100;470
0.11003;100;471
0.12003;100;494
0.13003;100;496
0.14004;100;500
0.15004;100;503
0.16004;100;497
0.17004;100;493
0.18005;100;511
0.19005;100;491
0.20005;100;505
0.21005;100;501
0.22006;100;503
0.23006;100;504
0.24006;100;527
0.25006;100;504
0.26007;100;504
0.27007;100;499
0.28007;100;510
0.29007;100;516
0.30008;100;524
0.31008;100;502
0.32008;100;514
0.33008;100;527
0.34009;100;502
0.35009;100;509
0.36009;100;509
0.37009;100;518
0.3801;100;511
0.3901;100;503
0.4001;100;524
0.4101;100;508
0.42011;100;523
0.43011;100;510
0.44011;100;512
0.45011;100;518
0.46012;100;520
0.47012;100;527
0.48012;100;518
0.49012;100;504
0.50013;100;500
0.51013;100;505
0.52013;100;505
0.53013;100;506
0.54014;100;511
0.55014;100;503
0.56014;100;504
0.57014;100;461
0.58015;100;570
0.59015;100;686
0.60015;100;727
0.61015;100;497
0.62016;100;469
0.63016;100;461
0.64016;100;456
0.65016;100;464
0.66017;100;483
0.67017;100;489
0.68017;100;492
0.69017;100;499
0.70018;100;508
0.71018;100;507
0.72018;100;496
0.73018;100;498
0.74019;100;521
0.75019;100;514
0.76019;100;512
0.77019;100;520
0.7802;100;540
0.7902;100;545
0.8002;100;545
0.8102;100;553
0.82021;100;564
0.83021;100;573
0.84021;100;600
0.85021;100;578
0.86022;100;577
0.87022;100;559
0.88022;100;529
0.89022;100;479
0.90023;100;452
0.91023;100;427
0.92023;100;423
0.93023;100;405
0.94024;100;420
0.95024;100;424
0.96024;100;440
0.97024;100;438
0.98025;100;463
0.99025;100;463
1.0003;100;469
1.0103;100;467
1.0203;100;478
1.0303;100;483
1.0403;100;483
1.0503;100;487
1.0603;100;500
1.0703;100;501
1.0803;100;505
1.0903;100;493
1.1003;100;512
1.1103;100;500
1.1203;100;507
1.1303;100;503
1.1403;100;516
1.1503;100;497
1.1603;100;517
1.1703;100;525
1.1803;100;506
1.1903;100;494
1.2003;100;511
1.2103;100;500
1.2203;100;511
1.2303;100;515
1.2403;100;523
1.2503;100;494
1.2603;100;507
1.2703;100;512
1.2803;100;512
1.2903;100;507
1.3003;100;516
1.3103;100;526
1.3203;100;521
1.3303;100;505
1.3403;100;527
1.3503;100;509
1.3603;100;500
1.3703;100;524
1.3803;100;523
1.3903;100;521
1.4004;100;531
1.4104;100;516
1.4204;100;532
1.4304;100;512
1.4404;100;504
1.4504;100;491
1.4604;100;508
1.4704;100;510
1.4804;100;506
1.4904;100;507
1.5004;100;506
1.5104;100;493
1.5204;100;491
1.5304;100;572
1.5404;100;702
1.5504;100;716
1.5604;100;504
1.5704;100;438
1.5804;100;447
1.5904;100;462
1.6004;100;472
1.6104;100;481
1.6204;100;490
1.6304;100;489
1.6404;100;489
1.6504;100;508
1.6604;100;507
1.6704;100;498
1.6804;100;502
1.6904;100;504
1.7004;100;528
1.7104;100;505
1.7204;100;527
1.7304;100;531
1.7404;100;539
1.7504;100;533
1.7604;100;560
1.7704;100;563
1.7804;100;588
1.7904;100;576
1.8005;100;583
1.8105;100;580
1.8205;100;563
1.8305;100;529
1.8405;100;473
1.8505;100;445
1.8605;100;439
1.8705;100;415
1.8805;100;417
1.8905;100;437
1.9005;100;432
1.9105;100;455
1.9205;100;435
1.9305;100;448
1.9405;100;475
1.9505;100;457
1.9605;100;477
1.9705;100;472
1.9805;100;479
1.9905;100;492
2.0005;100;500
2.0105;100;493
2.0205;100;499
2.0305;100;496
2.0405;100;523
2.0505;100;489
2.0605;100;496
2.0705;100;504
2.0805;100;501
2.0905;100;504
2.1005;100;511
2.1105;100;507
2.1205;100;526
2.1305;100;505
2.1405;100;515
2.1505;100;504
2.1605;100;502
2.1705;100;522
2.1805;100;518
2.1905;100;505
2.2006;100;507
2.2106;100;511
2.2206;100;496
2.2306;100;505
2.2406;100;510
2.2506;100;520
2.2606;100;523
2.2706;100;518
2.2806;100;510
2.2906;100;533
2.3006;100;531
2.3106;100;512
2.3206;100;529
2.3306;100;492
2.3406;100;502
2.3506;100;501
2.3606;100;511
2.3706;100;503
2.3806;100;519
2.3906;100;519
2.4006;100;499
2.4106;100;506
2.4206;100;588
2.4306;100;699
2.4406;100;673
2.4506;100;446
2.4606;100;460
2.4706;100;466
2.4806;100;482
2.4906;100;480
2.5006;100;508
2.5106;100;478
2.5206;100;491
2.5306;100;493
2.5406;100;511
2.5506;100;505
2.5606;100;508
2.5706;100;516
2.5806;100;502
2.5906;100;513
2.6007;100;535
2.6107;100;518
2.6207;100;518
2.6307;100;542
2.6407;100;556
2.6507;100;550
2.6607;100;599
2.6707;100;585
2.6807;100;566
2.6907;100;576
2.7007;100;575
2.7107;100;535
2.7207;100;505
2.7307;100;449
2.7407;100;452
2.7507;100;422
2.7607;100;418
2.7707;100;416
2.7807;100;429
2.7907;100;428
2.8007;100;444
2.8107;100;434
2.8207;100;482
2.8307;100;456
2.8407;100;452
2.8507;100;471
2.8607;100;496
2.8707;100;483
2.8807;100;488
2.8907;100;487
2.9007;100;499
2.9107;100;504
2.9207;100;500
2.9307;100;502
2.9407;100;497
2.9507;100;486
2.9607;100;493
2.9707;100;509
2.9807;100;505
2.9907;100;508
3.0008;100;513
3.0108;100;503
3.0208;100;510
3.0308;100;516
3.0408;100;502
3.0508;100;510
3.0608;100;511
3.0708;100;519
3.0808;100;516
3.0908;100;527
3.1008;100;529
3.1108;100;516
3.1208;100;516
3.1308;100;521
3.1408;100;496
3.1508;100;493
3.1608;100;509
3.1708;100;502
3.1808;100;504
3.1908;100;488
3.2008;100;523
3.2108;100;498
3.2208;100;492
3.2308;100;508
3.2408;100;625
3.2508;100;705
3.2608;100;608
3.2708;100;437
3.2808;100;475
3.2908;100;458
3.3008;100;472
3.3108;100;491
3.3208;100;494
3.3308;100;501
3.3408;100;498
3.3508;100;499
3.3608;100;508
3.3708;100;496
3.3808;100;505
3.3908;100;507
3.4009;100;530
3.4109;100;520
3.4209;100;535
3.4309;100;524
3.4409;100;533
3.4509;100;540
3.4609;100;556
3.4709;100;552
3.4809;100;589
3.4909;100;589
3.5009;100;591
3.5109;100;567
3.5209;100;567
3.5309;100;522
3.5409;100;477
3.5509;100;444
3.5609;100;430
3.5709;100;418
3.5809;100;429
3.5909;100;417
3.6009;100;440
3.6109;100;445
3.6209;100;454
3.6309;100;441
3.6409;100;468
3.6509;100;475
3.6609;100;473
3.6709;100;484
3.6809;100;499
3.6909;100;500
3.7009;100;508
3.7109;100;493
3.7209;100;507
3.7309;100;495
3.7409;100;491
3.7509;100;499
3.7609;100;506
3.7709;100;510
3.7809;100;515
3.7909;100;508
3.801;100;506
3.811;100;494
3.821;100;506
3.831;100;508
3.841;100;511
3.851;100;511
3.861;100;535
3.871;100;502
3.881;100;518
3.891;100;509
3.901;100;518
3.911;100;515
3.921;100;525
3.931;100;508
3.941;100;513
3.951;100;527
3.961;100;536
3.971;100;519
3.981;100;510
3.991;100;496
4.001;100;503
4.011;100;502
4.021;100;527
4.031;100;501
4.041;100;510
4.051;100;489
4.061;100;500
4.071;100;478
4.081;100;580
4.091;100;677
4.101;100;731
4.111;100;516
4.121;100;461
4.131;100;457
4.141;100;454
4.151;100;470
4.161;100;478
4.171;100;477
4.181;100;498
4.191;100;488
4.2011;100;505
4.2111;100;495
4.2211;100;507
4.2311;100;508
4.2411;100;514
4.2511;100;506
4.2611;100;515
4.2711;100;512
4.2811;100;528
4.2911;100;538
4.3011;100;553
4.3111;100;549
4.3211;100;572
4.3311;100;584
4.3411;100;574
4.3511;100;576
4.3611;100;570
4.3711;100;554
4.3811;100;508
4.3911;100;479
4.4011;100;454
4.4111;100;427
4.4211;100;428
4.4311;100;420
4.4411;100;444
4.4511;100;430
4.4611;100;457
4.4711;100;443
4.4811;100;465
4.4911;100;471
4.5011;100;465
4.5111;100;455
4.5211;100;488
4.5311;100;487
4.5411;100;491
4.5511;100;504
4.5611;100;467
4.5711;100;486
4.5811;100;503
4.5911;100;503
4.6012;100;500
4.6112;100;498
4.6212;100;504
4.6312;100;505
4.6412;100;516
4.6512;100;488
4.6612;100;508
4.6712;100;508
4.6812;100;504
4.6912;100;511
4.7012;100;509
4.7112;100;497
4.7212;100;511
4.7312;100;507
4.7412;100;508
4.7512;100;490
4.7612;100;514
4.7712;100;497
4.7812;100;519
4.7912;100;503
4.8012;100;513
4.8112;100;497
4.8212;100;515
4.8312;100;499
4.8412;100;502
4.8512;100;517
4.8612;100;511
4.8712;100;517
4.8812;100;507
4.8912;100;513
4.9012;100;520
4.9112;100;504
4.9212;100;500
4.9312;100;509
4.9412;100;527
4.9512;100;494
4.9612;100;515
4.9712;100;515
4.9812;100;510
4.9912;100;512
5.0013;100;509
5.0113;100;512
5.0213;100;515
5.0313;100;523
5.0413;100;519
5.0513;100;509
5.0613;100;509
5.0713;100;498
5.0813;100;506
5.0913;100;495
5.1013;100;511
5.1113;100;524
5.1213;100;502
5.1313;100;494
5.1413;100;496
5.1513;100;469
5.1613;100;560
5.1713;100;687
5.1813;100;748
5.1913;100;541
5.2013;100;455
5.2113;100;419
5.2213;100;464
5.2313;100;453
5.2413;100;487
5.2513;100;472
5.2613;100;487
5.2713;100;492
5.2813;100;492
5.2913;100;494
5.3013;100;498
5.3113;100;490
5.3213;100;513
5.3313;100;510
5.3413;100;520
5.3513;100;513
5.3613;100;534
5.3713;100;551
5.3813;100;562
5.3913;100;556
5.4014;100;556
5.4114;100;579
5.4214;100;583
5.4314;100;596
5.4414;100;567
5.4514;100;562
5.4614;100;537
5.4714;100;483
5.4814;100;472
5.4914;100;433
5.5014;100;420
5.5114;100;414
5.5214;100;435
5.5314;100;421
5.5414;100;438
5.5514;100;450
5.5614;100;466
5.5714;100;457
5.5814;100;464
5.5914;100;470
5.6014;100;481
5.6114;100;464
5.6214;100;494
5.6314;100;486
5.6414;100;514
5.6514;100;492
5.6614;100;516
5.6714;100;485
5.6814;100;497
5.6914;100;500
5.7014;100;517
5.7114;100;504
5.7214;100;506
5.7314;100;505
5.7414;100;527
5.7514;100;531
5.7614;100;497
5.7714;100;504
5.7814;100;518
5.7914;100;511
5.8015;100;513
5.8115;100;512
5.8215;100;514
5.8315;100;520
5.8415;100;524
5.8515;100;525
5.8615;100;521
5.8715;100;505
5.8815;100;523
5.8915;100;526
5.9015;100;513
5.9115;100;515
5.9215;100;523
5.9315;100;511
5.9415;100;521
5.9515;100;518
5.9615;100;511
5.9715;100;513
5.9815;100;535
5.9915;100;505
6.0015;100;511
6.0115;100;516
6.0215;100;506
6.0315;100;509
6.0415;100;514
6.0515;100;521
6.0615;100;526
6.0715;100;515
6.0815;100;524
6.0915;100;533
6.1015;100;532
6.1115;100;519
6.1215;100;495
6.1315;100;504
6.1415;100;519
6.1515;100;515
6.1615;100;504
6.1715;100;504
6.1815;100;513
6.1915;100;520
6.2016;100;488
6.2116;100;544
6.2216;100;691
6.2316;100;753
6.2416;100;534
6.2516;100;455
6.2616;100;451
6.2716;100;452
6.2816;100;482
6.2916;100;482
6.3016;100;484
6.3116;100;497
6.3216;100;504
6.3316;100;488
6.3416;100;502
6.3516;100;519
6.3616;100;499
6.3716;100;491
6.3816;100;514
6.3916;100;514
6.4016;100;541
6.4116;100;545
6.4216;100;542
6.4316;100;562
6.4416;100;562
6.4516;100;572
6.4616;100;579
6.4716;100;572
6.4816;100;591
6.4916;100;588
6.5016;100;556
6.5116;100;528
6.5216;100;495
6.5316;100;476
6.5416;100;415
6.5516;100;411
6.5616;100;415
6.5716;100;423
6.5816;100;436
6.5916;100;432
6.6017;100;448
6.6117;100;449
6.6217;100;462
6.6317;100;476
6.6417;100;483
6.6517;100;479
6.6617;100;486
6.6717;100;487
6.6817;100;507
6.6917;100;503
6.7017;100;500
6.7117;100;495
6.7217;100;502
6.7317;100;483
6.7417;100;503
6.7517;100;510
6.7617;100;504
6.7717;100;509
6.7817;100;506
6.7917;100;497
6.8017;100;518
6.8117;100;498
6.8217;100;512
6.8317;100;518
6.8417;100;515
6.8517;100;508
6.8617;100;519
6.8717;100;510
6.8817;100;510
6.8917;100;510
6.9017;100;524
6.9117;100;519
6.9217;100;523
6.9317;100;520
6.9417;100;508
6.9517;100;519
6.9617;100;525
6.9717;100;523
6.9817;100;521
6.9917;100;517
7.0018;100;504
7.0118;100;502
7.0218;100;515
7.0318;100;495
7.0418;100;506
7.0518;100;496
7.0618;100;496
7.0718;100;512
7.0818;100;483
7.0918;100;557
7.1018;100;681
7.1118;100;712
7.1218;100;474
7.1318;100;440
7.1418;100;464
7.1518;100;465
7.1618;100;481
7.1718;100;495
7.1818;100;508
7.1918;100;473
