time;SamplingFrequency;ECG
0;100;525
0.010003;100;495
0.020005;100;483
0.030008;100;518
0.04001;100;501
0.050013;100;539
0.060015;100;569
0.070018;100;504
0.08002;100;550
0.090023;100;580
0.10003;100;560
0.11003;100;526
0.12003;100;531
0.13003;100;543
0.14004;100;562
0.15004;100;559
0.16004;100;600
0.17004;100;527
0.18005;100;547
0.19005;100;553
0.20005;100;561
0.21005;100;548
0.22006;100;566
0.23006;100;513
0.24006;100;507
0.25006;100;540
0.26007;100;533
0.27007;100;557
0.28007;100;566
0.29007;100;522
0.30008;100;542
0.31008;100;544
0.32008;100;532
0.33008;100;514
0.34009;100;533
0.35009;100;520
0.36009;100;551
0.37009;100;518
0.3801;100;544
0.3901;100;482
0.4001;100;469
0.4101;100;485
0.42011;100;470
0.43011;100;479
0.44011;100;572
0.45011;100;682
0.46012;100;739
0.47012;100;525
0.48012;100;423
0.49012;100;460
0.50013;100;513
0.51013;100;491
0.52013;100;468
0.53013;100;474
0.54014;100;470
0.55014;100;456
0.56014;100;511
0.57014;100;492
0.58015;100;474
0.59015;100;492
0.60015;100;511
0.61015;100;520
0.62016;100;519
0.63016;100;532
0.64016;100;528
0.65016;100;512
0.66017;100;525
0.67017;100;574
0.68017;100;596
0.69017;100;622
0.70018;100;611
0.71018;100;575
0.72018;100;542
0.73018;100;543
0.74019;100;497
0.75019;100;480
0.76019;100;470
0.77019;100;440
0.7802;100;446
0.7902;100;420
0.8002;100;442
0.8102;100;410
0.82021;100;469
0.83021;100;471
0.84021;100;467
0.85021;100;461
0.86022;100;480
0.87022;100;496
0.88022;100;525
0.89022;100;470
0.90023;100;478
0.91023;100;451
0.92023;100;505
0.93023;100;499
0.94024;100;511
0.95024;100;519
0.96024;100;513
0.97024;100;474
0.98025;100;465
0.99025;100;518
1.0003;100;528
1.0103;100;519
1.0203;100;514
1.0303;100;485
1.0403;100;473
1.0503;100;483
1.0603;100;512
1.0703;100;524
1.0803;100;507
1.0903;100;551
1.1003;100;497
1.1103;100;493
1.1203;100;523
1.1303;100;516
1.1403;100;519
1.1503;100;577
1.1603;100;553
1.1703;100;521
1.1803;100;524
1.1903;100;527
1.2003;100;511
1.2103;100;513
1.2203;100;498
1.2303;100;486
1.2403;100;497
1.2503;100;467
1.2603;100;418
1.2703;100;465
1.2803;100;596
1.2903;100;714
1.3003;100;689
1.3103;100;418
1.3203;100;379
1.3303;100;448
1.3403;100;521
1.3503;100;496
1.3603;100;540
1.3703;100;509
1.3803;100;512
1.3903;100;527
1.4004;100;510
1.4104;100;476
1.4204;100;518
1.4304;100;498
1.4404;100;579
1.4504;100;540
1.4604;100;517
1.4704;100;568
1.4804;100;626
1.4904;100;547
1.5004;100;598
1.5104;100;662
1.5204;100;631
1.5304;100;583
1.5404;100;592
1.5504;100;599
1.5604;100;554
1.5704;100;483
1.5804;100;382
1.5904;100;355
1.6004;100;436
1.6104;100;379
1.6204;100;418
1.6304;100;434
1.6404;100;457
1.6504;100;413
1.6604;100;460
1.6704;100;398
1.6804;100;455
1.6904;100;462
1.7004;100;509
1.7104;100;519
1.7204;100;563
1.7304;100;463
1.7404;100;471
1.7504;100;473
1.7604;100;514
1.7704;100;510
1.7804;100;492
1.7904;100;421
1.8005;100;459
1.8105;100;448
1.8205;100;454
1.8305;100;476
1.8405;100;519
1.8505;100;524
1.8605;100;455
1.8705;100;499
1.8805;100;512
1.8905;100;517
1.9005;100;567
1.9105;100;555
1.9205;100;536
1.9305;100;548
1.9405;100;530
1.9505;100;545
1.9605;100;541
1.9705;100;544
1.9805;100;568
1.9905;100;577
2.0005;100;582
2.0105;100;601
2.0205;100;585
2.0305;100;543
2.0405;100;566
2.0505;100;611
2.0605;100;572
2.0705;100;538
2.0805;100;475
2.0905;100;487
2.1005;100;592
2.1105;100;567
2.1205;100;545
2.1305;100;529
2.1405;100;552
2.1505;100;506
2.1605;100;497
2.1705;100;595
2.1805;100;742
2.1905;100;718
2.2006;100;500
2.2106;100;482
2.2206;100;441
2.2306;100;460
2.2406;100;443
2.2506;100;483
2.2606;100;496
2.2706;100;487
2.2806;100;510
2.2906;100;496
2.3006;100;460
2.3106;100;452
2.3206;100;486
2.3306;100;519
2.3406;100;496
2.3506;100;499
2.3606;100;515
2.3706;100;544
2.3806;100;515
2.3906;100;535
2.4006;100;559
2.4106;100;578
2.4206;100;568
2.4306;100;570
2.4406;100;575
2.4506;100;522
2.4606;100;494
2.4706;100;451
2.4806;100;434
2.4906;100;416
2.5006;100;392
2.5106;100;417
2.5206;100;437
2.5306;100;415
2.5406;100;417
2.5506;100;422
2.5606;100;446
2.5706;100;448
2.5806;100;457
2.5906;100;478
2.6007;100;480
2.6107;100;460
2.6207;100;469
2.6307;100;479
2.6407;100;482
2.6507;100;505
2.6607;100;491
2.6707;100;482
2.6807;100;498
2.6907;100;475
2.7007;100;497
2.7107;100;497
2.7207;100;498
2.7307;100;489
2.7407;100;519
2.7507;100;504
2.7607;100;494
2.7707;100;514
2.7807;100;497
2.7907;100;503
2.8007;100;496
2.8107;100;507
2.8207;100;536
2.8307;100;506
2.8407;100;496
2.8507;100;497
2.8607;100;511
2.8707;100;509
2.8807;100;515
2.8907;100;525
2.9007;100;519
2.9107;100;504
2.9207;100;526
2.9307;100;492
2.9407;100;504
2.9507;100;502
2.9607;100;512
2.9707;100;534
2.9807;100;539
2.9907;100;538
3.0008;100;487
3.0108;100;507
3.0208;100;511
3.0308;100;524
3.0408;100;522
3.0508;100;515
3.0608;100;507
3.0708;100;512
3.0808;100;500
3.0908;100;493
3.1008;100;505
3.1108;100;503
3.1208;100;501
3.1308;100;507
3.1408;100;497
3.1508;100;644
3.1608;100;703
3.1708;100;604
3.1808;100;455
3.1908;100;457
3.2008;100;483
3.2108;100;485
3.2208;100;465
3.2308;100;470
3.2408;100;492
3.2508;100;505
3.2608;100;489
3.2708;100;500
3.2808;100;498
3.2908;100;511
3.3008;100;489
3.3108;100;498
3.3208;100;535
3.3308;100;527
3.3408;100;527
3.3508;100;536
3.3608;100;541
3.3708;100;570
3.3808;100;559
3.3908;100;568
3.4009;100;593
3.4109;100;576
3.4209;100;572
3.4309;100;555
3.4409;100;499
3.4509;100;474
3.4609;100;436
3.4709;100;407
3.4809;100;427
3.4909;100;428
3.5009;100;435
3.5109;100;424
3.5209;100;435
3.5309;100;446
3.5409;100;445
3.5509;100;438
3.5609;100;457
3.5709;100;487
3.5809;100;510
3.5909;100;472
3.6009;100;478
3.6109;100;491
3.6209;100;476
3.6309;100;506
3.6409;100;498
3.6509;100;476
3.6609;100;503
3.6709;100;489
3.6809;100;493
3.6909;100;506
3.7009;100;508
3.7109;100;490
3.7209;100;510
3.7309;100;515
3.7409;100;483
3.7509;100;507
3.7609;100;518
3.7709;100;491
3.7809;100;513
3.7909;100;508
3.801;100;504
3.811;100;504
3.821;100;506
3.831;100;508
3.841;100;513
3.851;100;515
3.861;100;493
3.871;100;504
3.881;100;521
3.891;100;515
3.901;100;513
3.911;100;519
3.921;100;511
3.931;100;514
3.941;100;520
3.951;100;517
3.961;100;514
3.971;100;497
3.981;100;508
3.991;100;517
4.001;100;523
4.011;100;461
4.021;100;508
4.031;100;515
4.041;100;475
4.051;100;528
4.061;100;619
4.071;100;736
4.081;100;666
4.091;100;451
4.101;100;447
4.111;100;461
4.121;100;476
4.131;100;483
4.141;100;474
4.151;100;489
4.161;100;511
4.171;100;506
4.181;100;486
4.191;100;500
4.2011;100;514
4.2111;100;525
4.2211;100;540
4.2311;100;515
4.2411;100;499
4.2511;100;541
4.2611;100;538
4.2711;100;551
4.2811;100;552
4.2911;100;569
4.3011;100;598
4.3111;100;588
4.3211;100;571
4.3311;100;597
4.3411;100;546
4.3511;100;512
4.3611;100;470
4.3711;100;454
4.3811;100;439
4.3911;100;434
4.4011;100;451
4.4111;100;444
4.4211;100;443
4.4311;100;431
4.4411;100;441
4.4511;100;468
4.4611;100;471
4.4711;100;473
4.4811;100;479
4.4911;100;531
4.5011;100;462
4.5111;100;494
4.5211;100;473
4.5311;100;521
4.5411;100;513
4.5511;100;529
4.5611;100;508
4.5711;100;503
4.5811;100;513
4.5911;100;515
4.6012;100;506
4.6112;100;507
4.6212;100;511
4.6312;100;510
4.6412;100;531
4.6512;100;518
4.6612;100;509
4.6712;100;516
4.6812;100;519
4.6912;100;515
4.7012;100;515
4.7112;100;533
4.7212;100;489
4.7312;100;517
4.7412;100;505
4.7512;100;519
4.7612;100;522
4.7712;100;535
4.7812;100;522
4.7912;100;512
4.8012;100;518
4.8112;100;526
4.8212;100;527
4.8312;100;518
4.8412;100;504
