time;SamplingFrequency;ECG;Pulse
0;1000;454;517
0.001;1000;454;518
0.0020001;1000;454;516
0.0030001;1000;454;516
0.0040001;1000;455;518
0.0050001;1000;457;519
0.0060002;1000;461;519
0.0070002;1000;464;518
0.0080002;1000;468;518
0.0090002;1000;470;519
0.01;1000;472;521
0.011;1000;473;519
0.012;1000;474;518
0.013;1000;475;518
0.014;1000;478;519
0.015;1000;480;521
0.016;1000;480;522
0.017;1000;478;519
0.018;1000;476;519
0.019;1000;472;521
0.020001;1000;473;523
0.021001;1000;475;523
0.022001;1000;478;521
0.023001;1000;477;520
0.024001;1000;475;522
0.025001;1000;476;523
0.026001;1000;476;521
0.027001;1000;476;523
0.028001;1000;478;522
0.029001;1000;482;523
0.030001;1000;485;521
0.031001;1000;487;525
0.032001;1000;485;525
0.033001;1000;484;522
0.034001;1000;485;523
0.035001;1000;486;526
0.036001;1000;486;524
0.037001;1000;487;522
0.038001;1000;488;527
0.039001;1000;488;524
0.040001;1000;487;526
0.041001;1000;487;528
0.042001;1000;487;526
0.043001;1000;487;523
0.044001;1000;487;524
0.045001;1000;487;526
0.046001;1000;486;526
0.047001;1000;485;526
0.048001;1000;486;523
0.049001;1000;488;524
0.050001;1000;491;525
0.051001;1000;492;526
0.052001;1000;495;526
0.053001;1000;496;524
0.054001;1000;497;525
0.055001;1000;496;523
0.056001;1000;495;528
0.057001;1000;496;524
0.058001;1000;496;524
0.059001;1000;497;524
0.060002;1000;495;525
0.061002;1000;492;527
0.062002;1000;491;525
0.063002;1000;491;523
0.064002;1000;492;524
0.065002;1000;494;525
0.066002;1000;495;524
0.067002;1000;497;524
0.068002;1000;500;523
0.069002;1000;502;524
0.070002;1000;504;522
0.071002;1000;506;525
0.072002;1000;507;520
0.073002;1000;506;522
0.074002;1000;507;523
0.075002;1000;507;524
0.076002;1000;507;526
0.077002;1000;507;524
0.078002;1000;507;521
0.079002;1000;505;521
0.080002;1000;502;523
0.081002;1000;499;522
0.082002;1000;498;521
0.083002;1000;498;520
0.084002;1000;499;521
0.085002;1000;504;520
0.086002;1000;509;525
0.087002;1000;512;521
0.088002;1000;513;523
0.089002;1000;512;521
0.090002;1000;511;521
0.091002;1000;509;523
0.092002;1000;507;521
0.093002;1000;508;518
0.094002;1000;509;520
0.095002;1000;509;521
0.096002;1000;510;521
0.097002;1000;513;519
0.098002;1000;513;519
0.099002;1000;512;520
0.1;1000;510;521
