time;Sampling Frequency;ECG
0;100;500
0.01;100;507
0.02;100;499
0.03;100;511
0.04;100;508
0.05;100;510
0.06;100;500
0.07;100;507
0.08;100;485
0.09;100;495
0.1;100;583
0.11;100;672
0.12;100;629
0.13;100;467
0.14;100;464
0.15;100;461
0.16;100;471
0.17;100;479
0.18;100;481
0.19;100;487
0.2;100;483
0.21;100;496
0.22;100;490
0.23;100;499
0.24;100;499
0.25;100;509
0.26;100;507
0.27;100;511
0.28;100;510
0.29;100;524
0.3;100;523
0.31;100;535
0.32;100;541
0.33;100;543
0.34;100;547
0.35;100;550
0.36;100;543
0.37;100;536
0.38;100;521
0.39;100;505
0.4;100;483
0.41;100;472
0.42;100;462
0.43;100;465
0.44;100;461
0.45;100;474
0.46;100;475
0.47;100;478
0.48;100;482
0.49;100;488
0.5;100;487
0.51;100;496
0.52;100;496
0.53;100;503
0.54;100;495
0.55;100;504
0.56;100;502
0.57;100;510
0.58;100;502
0.59;100;502
0.6;100;500
0.61;100;510
0.62;100;502
0.63;100;505
0.64;100;508
0.65;100;508
0.66;100;503
0.67;100;517
0.68;100;510
0.69;100;513
0.7;100;517
0.71;100;525
0.72;100;514
0.73;100;511
0.74;100;503
0.75;100;512
0.76;100;506
0.77;100;509
0.78;100;510
0.79;100;511
0.8;100;510
0.81;100;503
0.82;100;489
0.83;100;567
0.84;100;660
0.85;100;687
0.86;100;488
0.87;100;463
0.88;100;463
0.89;100;474
0.9;100;472
0.91;100;481
0.92;100;484
0.93;100;494
0.94;100;495
0.95;100;496
0.96;100;494
0.97;100;500
0.98;100;503
0.99;100;508
1;100;508
1.01;100;515
1.02;100;513
1.03;100;529
1.04;100;525
1.05;100;537
1.06;100;542
1.07;100;553
1.08;100;551
1.09;100;551
1.1;100;540
1.11;100;529
1.12;100;502
1.13;100;491
1.14;100;473
1.15;100;467
1.16;100;461
1.17;100;464
1.18;100;473
1.19;100;477
1.2;100;479
1.21;100;486
1.22;100;492
1.23;100;493
1.24;100;502
1.25;100;509
1.26;100;502
1.27;100;506
1.28;100;504
1.29;100;508
1.3;100;507
1.31;100;507
1.32;100;504
1.33;100;508
1.34;100;510
1.35;100;507
1.36;100;506
1.37;100;512
1.38;100;510
1.39;100;512
1.4;100;503
1.41;100;515
1.42;100;519
1.43;100;512
1.44;100;514
1.45;100;502
1.46;100;500
1.47;100;507
1.48;100;510
1.49;100;514
1.5;100;510
1.51;100;519
1.52;100;505
1.53;100;500
1.54;100;498
1.55;100;596
1.56;100;690
1.57;100;647
1.58;100;467
1.59;100;473
1.6;100;468
1.61;100;482
1.62;100;483
1.63;100;492
1.64;100;492
1.65;100;505
1.66;100;500
1.67;100;504
1.68;100;506
1.69;100;517
1.7;100;519
1.71;100;524
1.72;100;520
1.73;100;529
1.74;100;533
