time;SamplingFrequency;ECG
0.354;1000;508
0.355;1000;518
0.356;1000;526
0.357;1000;534
0.358;1000;543
0.359;1000;552
0.36;1000;563
0.361;1000;576
0.362;1000;588
0.363;1000;601
0.364;1000;614
0.365;1000;626
0.366;1000;636
0.367;1000;645
0.368;1000;653
0.369;1000;662
0.37;1000;668
0.371;1000;672
0.372;1000;674
0.373;1000;677
0.374;1000;681
0.375;1000;685
0.376;1000;685
0.377;1000;683
0.378;1000;679
0.379;1000;675
0.38;1000;669
0.381;1000;659
0.382;1000;647
0.383;1000;632
0.384;1000;613
0.385;1000;590
0.386;1000;567
0.387;1000;544
0.388;1000;524
0.389;1000;509
0.39;1000;497
0.391;1000;488
0.392;1000;482
0.393;1000;478
0.394;1000;475
0.395;1000;472
0.396;1000;474
0.397;1000;477
0.398;1000;480
0.399;1000;481
0.4;1000;480
0.401;1000;480
0.402;1000;479
0.403;1000;480
0.404;1000;480
0.405;1000;479
0.406;1000;479
0.407;1000;479
0.408;1000;475
0.409;1000;474
0.41;1000;476
0.411;1000;478
0.412;1000;478
0.413;1000;475
0.414;1000;472
0.415;1000;468
0.416;1000;467
0.417;1000;470
0.418;1000;473
0.419;1000;477
0.42;1000;479
0.421;1000;481
0.422;1000;482
0.423;1000;483
0.424;1000;486
0.425;1000;486
0.426;1000;484
0.427;1000;484
0.428;1000;484
0.429;1000;484
0.43;1000;487
0.431;1000;488
0.432;1000;487
0.433;1000;486
0.434;1000;485
0.435;1000;487
0.436;1000;489
0.437;1000;490
0.438;1000;491
0.439;1000;490
0.44;1000;489
0.441;1000;487
0.442;1000;487
0.443;1000;488
0.444;1000;489
0.445;1000;488
0.446;1000;487
0.447;1000;487
0.448;1000;487
0.449;1000;485
0.45;1000;484
0.451;1000;486
0.452;1000;487
0.453;1000;489
0.454;1000;491
0.455;1000;492
0.456;1000;492
0.457;1000;494
0.458;1000;495
0.459;1000;495
0.46;1000;495
0.461;1000;495
0.462;1000;494
0.463;1000;493
0.464;1000;494
0.465;1000;493
0.466;1000;491
0.467;1000;489
0.468;1000;493
0.469;1000;496
0.47;1000;496
0.471;1000;496
0.472;1000;496
0.473;1000;496
0.474;1000;497
0.475;1000;499
0.476;1000;501
0.477;1000;501
0.478;1000;501
0.479;1000;499
0.48;1000;499
0.481;1000;500
0.482;1000;503
0.483;1000;505
0.484;1000;506
0.485;1000;504
