time;SamplingFrequency;Pulse
0;100;524
0.01;100;533
0.02;100;538
0.03;100;540
0.04;100;543
0.05;100;545
0.06;100;545
0.07;100;542
0.08;100;540
0.09;100;538
0.1;100;532
0.11;100;530
0.12;100;526
0.13;100;521
0.14;100;517
0.15;100;512
0.16;100;511
0.17;100;509
0.18;100;508
0.19;100;508
0.2;100;507
0.21;100;504
0.22;100;508
0.23;100;509
0.24;100;508
0.25;100;512
0.26;100;511
0.27;100;513
0.28;100;519
0.29;100;518
0.3;100;518
0.31;100;519
0.32;100;521
0.33;100;520
0.34;100;521
0.35;100;521
0.36;100;519
0.37;100;519
0.38;100;519
0.39;100;518
0.4;100;516
0.41;100;515
0.42;100;514
0.43;100;512
0.44;100;512
0.45;100;512
0.46;100;514
0.47;100;511
0.48;100;510
0.49;100;513
0.5;100;511
0.51;100;512
0.52;100;514
0.53;100;514
0.54;100;514
0.55;100;514
0.56;100;514
0.57;100;516
0.58;100;515
0.59;100;516
0.6;100;516
0.61;100;518
0.62;100;516
0.63;100;516
0.64;100;516
0.65;100;514
0.66;100;515
0.67;100;518
0.68;100;515
0.69;100;515
0.7;100;516
0.71;100;515
0.72;100;515
0.73;100;515
0.74;100;513
0.75;100;516
0.76;100;516
0.77;100;518
0.78;100;519
0.79;100;521
0.8;100;526
0.81;100;529
0.82;100;534
0.83;100;536
0.84;100;537
0.85;100;540
0.86;100;542
0.87;100;540
0.88;100;538
0.89;100;536
0.9;100;531
0.91;100;527
0.92;100;524
0.93;100;519
0.94;100;515
0.95;100;511
0.96;100;510
0.97;100;509
0.98;100;508
0.99;100;508
1;100;508
1.01;100;508
1.02;100;506
1.03;100;510
1.04;100;512
1.05;100;513
1.06;100;512
1.07;100;517
1.08;100;517
1.09;100;522
1.1;100;520
1.11;100;521
1.12;100;522
1.13;100;521
1.14;100;521
1.15;100;519
1.16;100;520
1.17;100;518
1.18;100;516
1.19;100;516
1.2;100;514
1.21;100;513
1.22;100;513
1.23;100;512
1.24;100;513
1.25;100;513
1.26;100;513
1.27;100;512
1.28;100;513
1.29;100;511
1.3;100;513
1.31;100;512
1.32;100;512
1.33;100;516
1.34;100;515
1.35;100;513
1.36;100;512
1.37;100;514
1.38;100;513
1.39;100;514
1.4;100;515
1.41;100;515
1.42;100;517
1.43;100;517
1.44;100;517
1.45;100;518
1.46;100;517
1.47;100;517
1.48;100;516
1.49;100;516
1.5;100;515
1.51;100;517
1.52;100;515
1.53;100;515
1.54;100;516
1.55;100;515
1.56;100;514
1.57;100;514
1.58;100;514
1.59;100;516
1.6;100;519
1.61;100;524
1.62;100;529
1.63;100;532
1.64;100;536
1.65;100;539
1.66;100;539
1.67;100;541
1.68;100;542
1.69;100;538
1.7;100;539
1.71;100;534
1.72;100;532
1.73;100;525
1.74;100;521
1.75;100;519
1.76;100;515
1.77;100;512
1.78;100;510
1.79;100;509
1.8;100;508
1.81;100;507
1.82;100;508
1.83;100;509
1.84;100;508
1.85;100;510
1.86;100;511
1.87;100;513
1.88;100;515
1.89;100;518
1.9;100;518
1.91;100;518
1.92;100;519
1.93;100;521
1.94;100;524
1.95;100;521
1.96;100;521
1.97;100;521
1.98;100;519
1.99;100;519
2;100;519
2.01;100;517
2.02;100;515
2.03;100;515
2.04;100;513
2.05;100;513
2.06;100;511
2.07;100;512
2.08;100;512
2.09;100;509
2.1;100;511
2.11;100;508
2.12;100;512
2.13;100;513
2.14;100;511
2.15;100;511
2.16;100;512
2.17;100;513
2.18;100;513
2.19;100;514
2.2;100;516
2.21;100;516
2.22;100;515
2.23;100;515
2.24;100;516
2.25;100;516
2.26;100;516
2.27;100;515
2.28;100;515
2.29;100;516
2.3;100;516
2.31;100;515
2.32;100;515
2.33;100;514
2.34;100;514
2.35;100;513
2.36;100;514
2.37;100;512
2.38;100;512
2.39;100;512
2.4;100;514
2.41;100;518
2.42;100;517
2.43;100;520
2.44;100;525
2.45;100;528
2.46;100;533
2.47;100;536
2.48;100;538
2.49;100;541
2.5;100;543
2.51;100;542
2.52;100;540
2.53;100;538
2.54;100;534
2.55;100;530
2.56;100;526
2.57;100;521
2.58;100;517
2.59;100;513
2.6;100;510
2.61;100;511
2.62;100;508
2.63;100;505
2.64;100;504
2.65;100;505
2.66;100;506
2.67;100;508
2.68;100;509
2.69;100;512
2.7;100;514
2.71;100;515
2.72;100;516
2.73;100;517
2.74;100;519
2.75;100;520
2.76;100;518
2.77;100;520
2.78;100;517
2.79;100;521
2.8;100;518
2.81;100;519
2.82;100;516
2.83;100;515
2.84;100;515
2.85;100;513
2.86;100;512
2.87;100;510
