time;Sampling Frequency;ECG;Pulse
0;1000;480;508
0.001;1000;478;509
0.002;1000;478;511
0.003;1000;478;513
0.004;1000;479;511
0.005;1000;480;511
0.006;1000;480;511
0.007;1000;483;515
0.008;1000;485;511
0.009;1000;486;515
0.01;1000;486;512
0.011;1000;487;512
0.012;1000;487;515
0.013;1000;487;516
0.014;1000;487;515
0.015;1000;488;515
0.016;1000;489;515
0.017;1000;490;517
0.018;1000;489;517
0.019;1000;489;516
0.02;1000;491;516
0.021;1000;492;516
0.022;1000;491;516
0.023;1000;490;520
0.024;1000;491;518
0.025;1000;491;521
0.026;1000;492;517
0.027;1000;493;519
0.028;1000;493;521
0.029;1000;491;519
0.03;1000;494;516
0.031;1000;496;518
0.032;1000;499;520
0.033;1000;501;519
0.034;1000;502;518
0.035;1000;501;517
0.036;1000;499;519
0.037;1000;499;522
0.038;1000;500;519
0.039;1000;500;523
0.04;1000;498;519
0.041;1000;496;521
0.042;1000;498;522
0.043;1000;499;523
0.044;1000;500;521
0.045;1000;502;519
0.046;1000;502;520
0.047;1000;503;522
0.048;1000;503;522
0.049;1000;502;522
0.05;1000;503;521
0.051;1000;507;521
0.052;1000;507;523
0.053;1000;507;523
0.054;1000;508;522
0.055;1000;507;521
0.056;1000;506;522
0.057;1000;508;520
0.058;1000;507;524
0.059;1000;505;521
0.06;1000;506;519
0.061;1000;507;519
0.062;1000;507;522
0.063;1000;503;523
0.064;1000;502;521
0.065;1000;503;520
0.066;1000;504;520
0.067;1000;505;519
0.068;1000;504;524
0.069;1000;504;522
0.07;1000;505;520
0.071;1000;507;520
0.072;1000;510;523
0.073;1000;513;521
0.074;1000;516;524
0.075;1000;515;519
0.076;1000;513;520
0.077;1000;512;522
0.078;1000;511;523
0.079;1000;511;522
0.08;1000;510;519
0.081;1000;509;519
0.082;1000;509;521
0.083;1000;506;519
0.084;1000;503;523
0.085;1000;502;519
0.086;1000;502;520
0.087;1000;505;524
0.088;1000;510;520
0.089;1000;512;520
0.09;1000;513;518
0.091;1000;515;518
0.092;1000;517;520
0.093;1000;516;520
0.094;1000;515;518
0.095;1000;515;517
0.096;1000;516;518
0.097;1000;516;520
0.098;1000;517;520
0.099;1000;517;518
0.1;1000;518;518
0.101;1000;517;518
0.102;1000;515;522
0.103;1000;514;520
0.104;1000;513;519
0.105;1000;515;517
0.106;1000;519;518
0.107;1000;521;519
0.108;1000;521;518
0.109;1000;521;516
0.11;1000;520;516
0.111;1000;522;516
0.112;1000;524;518
0.113;1000;528;518
0.114;1000;529;516
0.115;1000;529;516
0.116;1000;528;517
0.117;1000;528;518
0.118;1000;528;518
0.119;1000;529;516
0.12;1000;531;515
0.121;1000;532;516
0.122;1000;533;518
0.123;1000;531;516
0.124;1000;531;514
0.125;1000;531;515
0.126;1000;530;515
0.127;1000;532;516
0.128;1000;534;514
0.129;1000;534;519
0.13;1000;536;515
0.131;1000;539;515
0.132;1000;540;518
0.133;1000;541;515
0.134;1000;542;519
0.135;1000;541;515
0.136;1000;541;516
0.137;1000;543;520
0.138;1000;543;515
0.139;1000;545;520
0.14;1000;547;517
0.141;1000;547;516
0.142;1000;548;519
0.143;1000;549;517
0.144;1000;550;519
0.145;1000;555;516
0.146;1000;554;517
0.147;1000;552;519
0.148;1000;554;519
0.149;1000;556;519
0.15;1000;558;516
0.151;1000;560;518
0.152;1000;560;519
0.153;1000;560;518
0.154;1000;559;521
0.155;1000;558;517
0.156;1000;558;517
