time;SamplingFrequency;Pulse
0;100;508
0.01;100;513
0.02;100;514
0.03;100;512
0.04;100;513
0.05;100;515
0.06;100;519
0.07;100;517
0.08;100;518
0.09;100;520
0.1;100;519
0.11;100;523
0.12;100;520
0.13;100;521
0.14;100;521
0.15;100;520
0.16;100;519
0.17;100;520
0.18;100;519
0.19;100;519
0.2;100;517
0.21;100;512
0.22;100;514
0.23;100;515
0.24;100;512
0.25;100;512
0.26;100;515
0.27;100;511
0.28;100;511
0.29;100;513
0.3;100;512
0.31;100;513
0.32;100;514
0.33;100;516
0.34;100;515
0.35;100;515
0.36;100;516
0.37;100;516
0.38;100;516
0.39;100;515
0.4;100;514
0.41;100;517
0.42;100;516
0.43;100;518
0.44;100;519
0.45;100;517
0.46;100;518
0.47;100;518
0.48;100;518
0.49;100;518
0.5;100;518
0.51;100;518
0.52;100;516
0.53;100;513
0.54;100;515
0.55;100;515
0.56;100;515
0.57;100;516
0.58;100;516
0.59;100;518
0.6;100;518
0.61;100;519
0.62;100;520
0.63;100;523
0.64;100;523
0.65;100;529
0.66;100;532
0.67;100;534
0.68;100;533
0.69;100;534
0.7;100;534
0.71;100;533
0.72;100;530
0.73;100;528
0.74;100;524
0.75;100;522
0.76;100;518
0.77;100;515
0.78;100;515
0.79;100;513
0.8;100;510
0.81;100;509
0.82;100;506
0.83;100;509
0.84;100;509
0.85;100;509
0.86;100;512
0.87;100;511
0.88;100;516
0.89;100;514
0.9;100;516
0.91;100;516
0.92;100;518
0.93;100;519
0.94;100;521
0.95;100;521
0.96;100;520
0.97;100;521
0.98;100;521
0.99;100;521
1;100;521
1.01;100;520
1.02;100;516
1.03;100;516
1.04;100;513
1.05;100;513
1.06;100;511
1.07;100;512
1.08;100;513
1.09;100;511
1.1;100;513
1.11;100;512
1.12;100;513
1.13;100;514
1.14;100;513
1.15;100;515
1.16;100;515
1.17;100;515
1.18;100;516
1.19;100;518
1.2;100;517
1.21;100;517
1.22;100;514
1.23;100;515
1.24;100;517
1.25;100;518
1.26;100;518
1.27;100;517
1.28;100;517
1.29;100;515
1.3;100;517
1.31;100;517
1.32;100;518
1.33;100;516
1.34;100;515
1.35;100;517
1.36;100;515
1.37;100;517
1.38;100;516
1.39;100;516
1.4;100;515
1.41;100;517
1.42;100;516
1.43;100;518
1.44;100;517
1.45;100;518
1.46;100;522
1.47;100;526
1.48;100;530
1.49;100;533
1.5;100;536
1.51;100;536
1.52;100;536
1.53;100;538
1.54;100;532
1.55;100;532
1.56;100;527
1.57;100;525
1.58;100;522
1.59;100;518
1.6;100;515
1.61;100;514
1.62;100;511
1.63;100;509
1.64;100;508
1.65;100;508
1.66;100;507
1.67;100;507
1.68;100;506
1.69;100;509
1.7;100;510
1.71;100;513
1.72;100;514
1.73;100;519
1.74;100;518
1.75;100;518
1.76;100;519
1.77;100;521
1.78;100;520
1.79;100;519
1.8;100;520
1.81;100;519
1.82;100;519
1.83;100;519
1.84;100;519
1.85;100;519
1.86;100;517
1.87;100;515
1.88;100;516
1.89;100;514
1.9;100;513
1.91;100;515
1.92;100;514
1.93;100;512
1.94;100;512
1.95;100;516
1.96;100;514
1.97;100;513
1.98;100;514
1.99;100;515
2;100;514
2.01;100;515
2.02;100;515
2.03;100;515
2.04;100;517
2.05;100;517
2.06;100;518
2.07;100;518
2.08;100;518
2.09;100;519
2.1;100;519
2.11;100;518
2.12;100;517
2.13;100;517
2.14;100;514
2.15;100;514
2.16;100;517
2.17;100;515
2.18;100;518
2.19;100;516
2.2;100;515
2.21;100;516
2.22;100;515
2.23;100;515
2.24;100;515
2.25;100;516
2.26;100;515
2.27;100;517
2.28;100;517
2.29;100;519
2.3;100;522
2.31;100;523
2.32;100;526
2.33;100;529
2.34;100;530
2.35;100;532
2.36;100;535
2.37;100;536
2.38;100;532
2.39;100;532
2.4;100;530
2.41;100;525
2.42;100;523
2.43;100;521
2.44;100;517
2.45;100;515
2.46;100;512
2.47;100;512
2.48;100;509
2.49;100;508
2.5;100;508
2.51;100;508
2.52;100;509
2.53;100;510
2.54;100;512
2.55;100;514
2.56;100;515
2.57;100;517
2.58;100;516
2.59;100;520
2.6;100;518
2.61;100;519
2.62;100;520
2.63;100;519
2.64;100;520
2.65;100;517
2.66;100;517
2.67;100;516
2.68;100;515
2.69;100;516
2.7;100;515
2.71;100;514
2.72;100;514
2.73;100;514
2.74;100;515
2.75;100;515
2.76;100;515
2.77;100;514
2.78;100;514
2.79;100;515
2.8;100;513
2.81;100;514
2.82;100;512
2.83;100;512
2.84;100;515
2.85;100;515
2.86;100;515
2.87;100;516
2.88;100;516
2.89;100;516
2.9;100;516
2.91;100;516
2.92;100;516
2.93;100;516
2.94;100;515
2.95;100;515
2.96;100;515
2.97;100;513
2.98;100;514
2.99;100;515
3;100;516
3.01;100;516
3.02;100;514
3.03;100;515
3.04;100;518
3.05;100;516
3.06;100;516
3.07;100;517
3.08;100;515
3.09;100;516
3.1;100;516
3.11;100;515
3.12;100;516
3.13;100;516
3.14;100;517
3.15;100;518
3.16;100;520
3.17;100;523
3.18;100;526
3.19;100;530
3.2;100;531
3.21;100;534
3.22;100;536
3.23;100;536
