time;Sampling Frequency;ECG;Pulse
0;100;512;522
0.01;100;505;523
0.02;100;510;524
0.03;100;508;522
0.04;100;509;519
0.05;100;505;518
0.06;100;500;518
0.07;100;476;516
0.08;100;540;514
0.09;100;671;512
0.1;100;764;512
0.11;100;541;512
0.12;100;467;510
0.13;100;455;510
0.14;100;463;510
0.15;100;468;511
0.16;100;481;511
0.17;100;482;512
0.18;100;489;512
0.19;100;491;513
0.2;100;500;517
0.21;100;504;518
0.22;100;505;519
0.23;100;509;519
0.24;100;514;518
0.25;100;517;519
0.26;100;521;519
0.27;100;527;519
0.28;100;537;518
0.29;100;542;516
0.3;100;551;517
0.31;100;557;515
0.32;100;562;518
0.33;100;554;523
0.34;100;554;527
0.35;100;534;531
0.36;100;516;538
0.37;100;495;543
0.38;100;484;548
0.39;100;472;551
0.4;100;472;555
0.41;100;466;555
0.42;100;472;552
0.43;100;472;549
0.44;100;471;544
0.45;100;472;538
0.46;100;480;531
0.47;100;480;524
0.48;100;481;517
0.49;100;484;512
0.5;100;486;506
0.51;100;486;503
0.52;100;490;498
0.53;100;488;496
0.54;100;490;494
0.55;100;488;493
0.56;100;494;490
0.57;100;491;492
0.58;100;497;495
0.59;100;499;495
0.6;100;505;499
0.61;100;504;501
0.62;100;509;504
0.63;100;511;509
0.64;100;517;513
0.65;100;513;519
0.66;100;519;521
0.67;100;519;523
0.68;100;519;524
0.69;100;517;526
0.7;100;521;526
0.71;100;525;524
0.72;100;528;526
0.73;100;527;523
0.74;100;516;521
0.75;100;508;519
0.76;100;510;516
0.77;100;509;513
0.78;100;511;512
0.79;100;505;509
0.8;100;508;508
0.81;100;508;508
0.82;100;504;507
0.83;100;477;507
0.84;100;528;508
0.85;100;664;505
0.86;100;780;506
0.87;100;609;506
0.88;100;475;507
0.89;100;455;510
0.9;100;459;512
0.91;100;465;514
0.92;100;472;515
0.93;100;478;516
0.94;100;484;517
0.95;100;487;517
0.96;100;495;518
0.97;100;494;520
0.98;100;498;518
0.99;100;502;518
1;100;511;517
1.01;100;511;516
1.02;100;518;516
1.03;100;521;513
1.04;100;528;511
1.05;100;533;511
1.06;100;547;511
1.07;100;552;512
1.08;100;556;515
1.09;100;555;517
1.1;100;552;523
1.11;100;540;529
1.12;100;522;538
1.13;100;502;547
1.14;100;490;553
1.15;100;473;559
1.16;100;472;561
1.17;100;467;561
1.18;100;473;561
1.19;100;468;557
1.2;100;470;550
1.21;100;472;543
1.22;100;477;536
1.23;100;475;527
1.24;100;475;519
1.25;100;478;512
1.26;100;479;507
1.27;100;480;502
1.28;100;480;497
1.29;100;484;493
1.3;100;485;491
1.31;100;485;490
1.32;100;491;493
1.33;100;496;494
1.34;100;497;497
1.35;100;497;499
1.36;100;504;503
1.37;100;508;507
1.38;100;509;511
1.39;100;508;516
1.4;100;514;519
1.41;100;513;521
1.42;100;513;524
1.43;100;521;525
1.44;100;517;525
1.45;100;516;527
1.46;100;517;525
1.47;100;516;523
1.48;100;517;523
1.49;100;519;519
1.5;100;523;516
1.51;100;518;515
1.52;100;520;513
1.53;100;507;511
1.54;100;503;510
1.55;100;504;509
1.56;100;506;508
1.57;100;506;506
1.58;100;508;505
1.59;100;503;506
1.6;100;511;507
1.61;100;500;508
1.62;100;479;508
1.63;100;552;509
