time;Sampling Frequency;ECG
0;100;505
0.01;100;503
0.02;100;505
0.03;100;505
0.04;100;507
0.05;100;503
0.06;100;510
0.07;100;507
0.08;100;508
0.09;100;508
0.1;100;509
0.11;100;507
0.12;100;509
0.13;100;509
0.14;100;514
0.15;100;509
0.16;100;506
0.17;100;515
0.18;100;520
0.19;100;508
0.2;100;506
0.21;100;500
0.22;100;502
0.23;100;500
0.24;100;503
0.25;100;498
0.26;100;504
0.27;100;502
0.28;100;505
0.29;100;505
0.3;100;487
0.31;100;495
0.32;100;593
0.33;100;689
0.34;100;659
0.35;100;476
0.36;100;464
0.37;100;458
0.38;100;469
0.39;100;467
0.4;100;480
0.41;100;478
0.42;100;487
0.43;100;488
0.44;100;493
0.45;100;488
0.46;100;499
0.47;100;505
0.48;100;506
0.49;100;510
0.5;100;515
0.51;100;522
0.52;100;527
0.53;100;535
0.54;100;544
0.55;100;552
0.56;100;555
0.57;100;560
0.58;100;559
0.59;100;545
0.6;100;531
0.61;100;510
0.62;100;490
0.63;100;463
0.64;100;454
0.65;100;449
0.66;100;449
0.67;100;451
0.68;100;455
0.69;100;458
0.7;100;467
0.71;100;469
0.72;100;483
0.73;100;488
0.74;100;489
0.75;100;492
0.76;100;496
0.77;100;495
0.78;100;500
0.79;100;501
0.8;100;504
0.81;100;498
0.82;100;501
0.83;100;502
0.84;100;502
0.85;100;498
0.86;100;501
0.87;100;498
0.88;100;507
0.89;100;502
0.9;100;508
0.91;100;508
0.92;100;508
0.93;100;510
0.94;100;519
0.95;100;513
0.96;100;518
0.97;100;519
0.98;100;522
0.99;100;510
1;100;505
1.01;100;504
1.02;100;502
1.03;100;504
1.04;100;509
1.05;100;507
1.06;100;508
1.07;100;513
1.08;100;509
1.09;100;511
1.1;100;499
1.11;100;493
1.12;100;579
1.13;100;679
1.14;100;655
1.15;100;463
1.16;100;481
1.17;100;476
1.18;100;478
1.19;100;484
1.2;100;493
1.21;100;492
1.22;100;500
1.23;100;498
1.24;100;503
1.25;100;505
1.26;100;507
1.27;100;511
1.28;100;516
1.29;100;520
1.3;100;525
1.31;100;528
1.32;100;536
1.33;100;540
1.34;100;550
1.35;100;555
1.36;100;568
1.37;100;565
1.38;100;558
1.39;100;548
1.4;100;529
1.41;100;506
1.42;100;479
1.43;100;464
1.44;100;456
1.45;100;451
1.46;100;449
1.47;100;453
1.48;100;461
1.49;100;460
1.5;100;471
1.51;100;479
1.52;100;485
1.53;100;485
1.54;100;493
